epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1037.73,1.60861,2.18318,1.19664,0.4895,0.32858,0.36125,0.23196,1.199,1.2884,1.01185,0.00332,0.00332,0.00332
2,1656.74,1.42944,1.37256,1.09379,0.59042,0.40286,0.45107,0.28767,1.14095,1.01177,0.99027,0.00664236,0.00664236,0.00664236
3,2064.75,1.39389,1.19891,1.07471,0.5802,0.39875,0.44441,0.27376,1.17354,0.98437,1.00251,0.00995371,0.00995371,0.00995371
4,2567.88,1.35991,1.07202,1.06854,0.62357,0.43793,0.49673,0.31307,1.13501,0.87972,0.99886,0.0099505,0.0099505,0.0099505
5,2993.7,1.31621,0.99907,1.05046,0.66551,0.44518,0.51398,0.32719,1.08725,0.83188,0.97979,0.009934,0.009934,0.009934
6,3614.02,1.29016,0.95916,1.04279,0.6607,0.46251,0.52854,0.33918,1.08505,0.78877,0.97569,0.0099175,0.0099175,0.0099175
7,4051.43,1.26744,0.92989,1.03341,0.65525,0.45561,0.52059,0.32933,1.09509,0.84039,0.98073,0.009901,0.009901,0.009901
8,4480.37,1.25199,0.91152,1.02715,0.6767,0.49923,0.56807,0.37015,1.03221,0.73245,0.95168,0.0098845,0.0098845,0.0098845
9,5216.69,1.24411,0.8981,1.02412,0.71442,0.48715,0.56873,0.37244,1.02031,0.72195,0.9487,0.009868,0.009868,0.009868
10,6224.07,1.23447,0.88281,1.01845,0.69436,0.50757,0.58389,0.38358,1.01211,0.70434,0.94463,0.0098515,0.0098515,0.0098515
11,7013.59,1.22067,0.87065,1.01445,0.69234,0.5003,0.57602,0.37481,1.02267,0.71904,0.94655,0.009835,0.009835,0.009835
12,8152.01,1.21687,0.86405,1.01139,0.6748,0.48019,0.55377,0.35933,1.02862,0.74219,0.95351,0.0098185,0.0098185,0.0098185
