epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3258.22,1.54149,1.46966,1.39917,0.57276,0.50417,0.51231,0.32894,1.04299,0.80034,1.05845,0.0700048,0.0033328,0.0033328
2,6385.24,1.05873,0.78254,1.06051,0.71612,0.5838,0.65162,0.44303,0.93633,0.66973,0.99912,0.0399388,0.00660014,0.00660014
3,9492.6,1.01256,0.71859,1.03249,0.7574,0.61194,0.69266,0.47733,0.90359,0.62294,0.98444,0.00980681,0.00980148,0.00980148
4,12591.3,0.98857,0.68902,1.0222,0.77556,0.64273,0.72534,0.5046,0.87804,0.58239,0.96888,0.009703,0.009703,0.009703
5,15680.3,0.96261,0.65728,1.00901,0.79041,0.65911,0.74555,0.52387,0.85871,0.5591,0.95969,0.009604,0.009604,0.009604
6,18763.1,0.94265,0.63413,0.99872,0.80547,0.67204,0.76072,0.53724,0.84582,0.54091,0.95357,0.009505,0.009505,0.009505
7,21840.4,0.9312,0.62002,0.9937,0.80568,0.6822,0.7695,0.54655,0.83484,0.52748,0.94812,0.009406,0.009406,0.009406
8,24928.8,0.92057,0.60912,0.98837,0.81549,0.68945,0.77847,0.55525,0.82633,0.51751,0.94299,0.009307,0.009307,0.009307
9,28016.1,0.91387,0.60016,0.98345,0.8146,0.69839,0.78551,0.56166,0.81907,0.51045,0.93879,0.009208,0.009208,0.009208
10,31096.6,0.90658,0.59126,0.98071,0.82116,0.70308,0.79077,0.56767,0.81314,0.50196,0.93586,0.009109,0.009109,0.009109
11,34187.1,0.90054,0.58559,0.979,0.82474,0.70976,0.79732,0.57332,0.80831,0.49519,0.93395,0.00901,0.00901,0.00901
12,37299.9,0.89806,0.58163,0.97696,0.82573,0.71394,0.80065,0.57686,0.80423,0.49075,0.93235,0.008911,0.008911,0.008911
13,40395.4,0.89152,0.57323,0.97293,0.83026,0.71584,0.80397,0.57997,0.80128,0.48706,0.93052,0.008812,0.008812,0.008812
14,43491.5,0.89108,0.57184,0.97182,0.83086,0.72021,0.80704,0.58281,0.79827,0.48314,0.92849,0.008713,0.008713,0.008713
15,46581.6,0.88602,0.56737,0.96933,0.83348,0.72302,0.80966,0.58547,0.79575,0.47993,0.92705,0.008614,0.008614,0.008614
16,49672.9,0.88355,0.56329,0.96827,0.83396,0.72531,0.81162,0.58774,0.79373,0.47754,0.9259,0.008515,0.008515,0.008515
17,52767,0.87988,0.56001,0.96676,0.83547,0.72609,0.81319,0.58945,0.79198,0.47542,0.92502,0.008416,0.008416,0.008416
18,55856.1,0.8766,0.55606,0.96509,0.83569,0.72781,0.81449,0.591,0.79043,0.47344,0.92427,0.008317,0.008317,0.008317
19,58944.7,0.87435,0.55329,0.96495,0.83636,0.72893,0.81556,0.59225,0.7891,0.47189,0.92368,0.008218,0.008218,0.008218
20,62093.7,0.87318,0.55105,0.96243,0.83761,0.7303,0.81674,0.59348,0.78784,0.47049,0.92301,0.008119,0.008119,0.008119
21,65882.8,0.8712,0.54995,0.9629,0.83884,0.73113,0.81774,0.59444,0.78679,0.46911,0.92253,0.00802,0.00802,0.00802
22,69853,0.86566,0.54487,0.95986,0.84059,0.73155,0.81872,0.59564,0.78568,0.46791,0.92202,0.007921,0.007921,0.007921
23,73822.1,0.86602,0.5424,0.9589,0.84026,0.73277,0.81943,0.59659,0.7848,0.46678,0.92155,0.007822,0.007822,0.007822
