epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1694.3,0.94162,0.78586,0.99344,0.7857,0.64983,0.74252,0.50865,0.93409,0.60867,0.95798,0.00333013,0.00333013,0.00333013
2,3458.65,0.95774,0.6691,0.99891,0.74106,0.60013,0.67483,0.45054,0.97488,0.73051,1.00393,0.00663048,0.00663048,0.00663048
3,5148.04,1.00449,0.71929,1.03381,0.70631,0.56492,0.63471,0.42067,0.98503,0.80046,1.0297,0.00989783,0.00989783,0.00989783
4,6817.03,0.98539,0.69028,1.03015,0.77748,0.64598,0.7288,0.49914,0.89761,0.59258,0.97707,0.0098515,0.0098515,0.0098515
5,8486.13,0.93325,0.62927,1.00456,0.80363,0.67442,0.75989,0.53511,0.85498,0.54687,0.95378,0.009802,0.009802,0.009802
6,10155.5,0.90686,0.59884,0.98997,0.81333,0.69912,0.78672,0.56031,0.82427,0.5109,0.9413,0.0097525,0.0097525,0.0097525
7,11832.6,0.88902,0.57545,0.98003,0.82851,0.71721,0.80645,0.58016,0.80668,0.48559,0.93047,0.009703,0.009703,0.009703
8,13762.5,0.8752,0.56191,0.97453,0.83994,0.73083,0.82029,0.59328,0.79311,0.47106,0.92786,0.0096535,0.0096535,0.0096535
9,16148.2,0.86803,0.55297,0.97132,0.83924,0.74125,0.82767,0.60376,0.77777,0.46046,0.92088,0.009604,0.009604,0.009604
10,19091.1,0.85747,0.54114,0.96545,0.84921,0.74859,0.83657,0.61373,0.76851,0.44609,0.91467,0.0095545,0.0095545,0.0095545
11,21948.1,0.85013,0.53336,0.96151,0.84934,0.75765,0.84273,0.62098,0.75958,0.43741,0.91123,0.009505,0.009505,0.009505
12,24767,0.84752,0.52821,0.95864,0.85399,0.76391,0.84888,0.62719,0.75353,0.43016,0.90766,0.0094555,0.0094555,0.0094555
13,26911.6,0.84056,0.52027,0.95554,0.85488,0.76948,0.85272,0.63258,0.74541,0.42416,0.90501,0.009406,0.009406,0.009406
14,28845,0.83463,0.51539,0.95074,0.85802,0.7733,0.85656,0.63729,0.7401,0.41878,0.90187,0.0093565,0.0093565,0.0093565
15,30940.2,0.83187,0.51306,0.9502,0.86135,0.77563,0.85938,0.64033,0.73735,0.41531,0.90032,0.009307,0.009307,0.009307
16,33031.1,0.82966,0.51011,0.94848,0.86285,0.77784,0.86159,0.64276,0.73509,0.41261,0.89892,0.0092575,0.0092575,0.0092575
17,34929.8,0.82628,0.5066,0.94755,0.86301,0.78057,0.86315,0.64467,0.73255,0.41053,0.89789,0.009208,0.009208,0.009208
18,36807,0.82348,0.50448,0.94546,0.86496,0.78178,0.86469,0.64666,0.73061,0.40857,0.89709,0.0091585,0.0091585,0.0091585
19,39161.4,0.82036,0.50063,0.94529,0.86502,0.78401,0.86578,0.64823,0.72876,0.40684,0.89659,0.009109,0.009109,0.009109
20,41497.4,0.81772,0.49891,0.94326,0.86554,0.78581,0.86699,0.64971,0.72715,0.40525,0.89593,0.0090595,0.0090595,0.0090595
21,43467.5,0.81603,0.49597,0.94219,0.86724,0.78645,0.86816,0.65106,0.72558,0.40372,0.89529,0.00901,0.00901,0.00901
22,45707.5,0.81289,0.49347,0.94324,0.86764,0.78741,0.86911,0.6524,0.724,0.40228,0.8948,0.0089605,0.0089605,0.0089605
23,48063.9,0.80851,0.4893,0.94019,0.86919,0.78852,0.87029,0.65356,0.7229,0.40084,0.89433,0.008911,0.008911,0.008911
24,50243.9,0.80962,0.49054,0.93771,0.86924,0.7902,0.87135,0.65488,0.7216,0.39942,0.8936,0.0088615,0.0088615,0.0088615
25,52154.9,0.80553,0.48557,0.93682,0.87049,0.7908,0.87238,0.65614,0.72033,0.39815,0.89293,0.008812,0.008812,0.008812
26,54040.2,0.80498,0.48568,0.9361,0.87087,0.79214,0.87339,0.6576,0.71899,0.39669,0.89224,0.0087625,0.0087625,0.0087625
27,55910.7,0.80115,0.48198,0.93517,0.87101,0.79392,0.87448,0.65887,0.71759,0.3952,0.89161,0.008713,0.008713,0.008713
28,58194,0.80074,0.48101,0.93453,0.87176,0.79498,0.87556,0.66018,0.71615,0.39393,0.89096,0.0086635,0.0086635,0.0086635
29,60288.9,0.80084,0.48124,0.93306,0.87263,0.79641,0.8766,0.66146,0.71468,0.39264,0.89027,0.008614,0.008614,0.008614
30,62317.1,0.79838,0.47865,0.9349,0.87377,0.79741,0.87758,0.66278,0.71342,0.39135,0.88978,0.0085645,0.0085645,0.0085645
31,64544.3,0.79645,0.47554,0.93183,0.87448,0.798,0.87863,0.66405,0.71198,0.38997,0.88919,0.008515,0.008515,0.008515
32,67706.1,0.79436,0.47452,0.92865,0.87483,0.79918,0.87963,0.66521,0.71059,0.38876,0.88844,0.0084655,0.0084655,0.0084655
