epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1182.78,0.71752,0.51653,0.87013,0.90109,0.86011,0.92527,0.75659,0.63616,0.4022,0.82835,0.00333013,0.00333013,0.00333013
2,2359.1,0.68714,0.45658,0.85785,0.90391,0.8484,0.923,0.74472,0.65785,0.40898,0.8368,0.00653153,0.00653153,0.00653153
3,3543.56,0.7344,0.5024,0.87494,0.85811,0.78003,0.86556,0.66578,0.74729,0.50691,0.8708,0.00960093,0.00960093,0.00960093
4,4728.53,0.76516,0.53976,0.88929,0.87284,0.79214,0.88334,0.68845,0.71623,0.47919,0.86035,0.009406,0.009406,0.009406
5,6410.87,0.74987,0.52217,0.88442,0.88575,0.80581,0.89374,0.70248,0.69834,0.44627,0.85564,0.009208,0.009208,0.009208
6,7602.76,0.73933,0.51006,0.88085,0.89441,0.81165,0.90084,0.71457,0.68297,0.42905,0.8516,0.00901,0.00901,0.00901
7,8793.94,0.72857,0.49757,0.87682,0.89767,0.82249,0.90828,0.72413,0.67013,0.41567,0.84676,0.008812,0.008812,0.008812
8,10010.8,0.72098,0.48872,0.87461,0.9034,0.83265,0.91574,0.73372,0.65917,0.40126,0.8432,0.008614,0.008614,0.008614
9,11347.1,0.71506,0.4818,0.87234,0.90711,0.83661,0.9193,0.73899,0.65083,0.3923,0.84043,0.008416,0.008416,0.008416
10,12559.2,0.71031,0.47421,0.87139,0.91282,0.84537,0.92543,0.74653,0.64418,0.38202,0.83888,0.008218,0.008218,0.008218
11,13966.3,0.702,0.46643,0.86839,0.91624,0.84977,0.92871,0.75185,0.63773,0.37405,0.83611,0.00802,0.00802,0.00802
12,15186,0.69792,0.46103,0.86702,0.91854,0.85577,0.93248,0.75723,0.63099,0.3667,0.83426,0.007822,0.007822,0.007822
13,16389.7,0.69707,0.45817,0.86687,0.92161,0.85897,0.93508,0.76072,0.62658,0.36169,0.83326,0.007624,0.007624,0.007624
14,17713.4,0.69229,0.45372,0.86499,0.92343,0.86158,0.93694,0.76386,0.62309,0.35707,0.83213,0.007426,0.007426,0.007426
15,18894.9,0.68736,0.44756,0.86325,0.92477,0.86407,0.93865,0.76647,0.61998,0.35348,0.83101,0.007228,0.007228,0.007228
16,20074.5,0.68511,0.44423,0.86263,0.92684,0.86588,0.94014,0.76858,0.61741,0.35048,0.83022,0.00703,0.00703,0.00703
17,22378.9,0.68132,0.44023,0.86122,0.92799,0.86745,0.94123,0.77031,0.6153,0.34809,0.82952,0.006832,0.006832,0.006832
18,23726.3,0.67814,0.43595,0.85979,0.92843,0.86963,0.94221,0.77172,0.61357,0.34583,0.82897,0.006634,0.006634,0.006634
19,25868.4,0.6734,0.43105,0.85868,0.92954,0.87079,0.94301,0.77293,0.61211,0.34402,0.82847,0.006436,0.006436,0.006436
20,28109.4,0.67057,0.42701,0.85783,0.93016,0.87202,0.94382,0.77405,0.61065,0.34244,0.82804,0.006238,0.006238,0.006238
21,32158.5,0.66999,0.42519,0.85803,0.93082,0.87325,0.94454,0.77521,0.60932,0.34081,0.82765,0.00604,0.00604,0.00604
22,36550,0.66578,0.42104,0.85596,0.93152,0.87432,0.94527,0.77635,0.60805,0.33937,0.82726,0.005842,0.005842,0.005842
23,41480.2,0.66302,0.41736,0.85492,0.93221,0.87529,0.94592,0.77754,0.60667,0.33783,0.82683,0.005644,0.005644,0.005644
24,43044.4,0.66031,0.41422,0.85402,0.9333,0.87593,0.94657,0.77865,0.60536,0.33631,0.82642,0.005446,0.005446,0.005446
25,45290.2,0.65904,0.41141,0.85391,0.9336,0.87746,0.94727,0.77987,0.60397,0.3348,0.82602,0.005248,0.005248,0.005248
26,47051.9,0.65257,0.40662,0.85197,0.93435,0.87877,0.948,0.781,0.60253,0.33319,0.82558,0.00505,0.00505,0.00505
27,53530.8,0.652,0.40392,0.85175,0.93475,0.87985,0.94873,0.78218,0.60115,0.33158,0.82517,0.004852,0.004852,0.004852
28,63247.7,0.64844,0.40073,0.85005,0.9359,0.88054,0.9495,0.78338,0.59974,0.32994,0.82469,0.004654,0.004654,0.004654
29,70552,0.64606,0.39765,0.84939,0.93631,0.88193,0.9502,0.78448,0.59846,0.32833,0.82425,0.004456,0.004456,0.004456
30,72228.6,0.64458,0.39557,0.84912,0.93758,0.88291,0.9509,0.78564,0.59707,0.32677,0.82382,0.004258,0.004258,0.004258
31,75158.9,0.64151,0.3908,0.84851,0.93788,0.8845,0.95161,0.7868,0.59563,0.32503,0.82338,0.00406,0.00406,0.00406
32,77149.8,0.63812,0.38706,0.84692,0.93908,0.88535,0.95231,0.78783,0.59421,0.32352,0.82297,0.003862,0.003862,0.003862
33,78778.5,0.6364,0.38562,0.84649,0.93932,0.88679,0.95301,0.78892,0.59275,0.32185,0.82253,0.003664,0.003664,0.003664
34,80300.5,0.63197,0.38068,0.84507,0.94023,0.88797,0.95379,0.79007,0.59132,0.32025,0.82207,0.003466,0.003466,0.003466
35,81953.2,0.62985,0.37801,0.84419,0.94103,0.88924,0.95457,0.79141,0.58979,0.31867,0.8216,0.003268,0.003268,0.003268
36,83939.3,0.62662,0.374,0.84312,0.94136,0.89087,0.95523,0.79262,0.58827,0.31707,0.82111,0.00307,0.00307,0.00307
37,85346.3,0.62301,0.37051,0.84245,0.94178,0.89254,0.95594,0.79399,0.5867,0.31535,0.82062,0.002872,0.002872,0.002872
38,86573.6,0.61703,0.36585,0.84064,0.9426,0.89352,0.95667,0.79521,0.58511,0.31379,0.82013,0.002674,0.002674,0.002674
39,89415.9,0.61659,0.36323,0.84004,0.94369,0.89443,0.95738,0.79634,0.58353,0.31226,0.81964,0.002476,0.002476,0.002476
40,93482.5,0.61384,0.36,0.83894,0.94449,0.89543,0.95807,0.79763,0.58195,0.3107,0.81913,0.002278,0.002278,0.002278
41,94851.2,0.58072,0.32164,0.82513,0.94551,0.89649,0.9589,0.79896,0.58012,0.309,0.81859,0.00208,0.00208,0.00208
42,96016.3,0.57523,0.31599,0.82325,0.94672,0.89759,0.95966,0.80038,0.57819,0.30719,0.81802,0.001882,0.001882,0.001882
43,97182.5,0.57067,0.31206,0.82238,0.94735,0.89915,0.96041,0.80183,0.5763,0.30524,0.81742,0.001684,0.001684,0.001684
44,98346.8,0.56473,0.30627,0.82019,0.94892,0.90044,0.96131,0.80325,0.57441,0.30345,0.81681,0.001486,0.001486,0.001486
45,99512.3,0.56021,0.30192,0.81914,0.94995,0.90176,0.9621,0.80489,0.57249,0.30158,0.8162,0.001288,0.001288,0.001288
46,100678,0.55565,0.29735,0.81805,0.95072,0.90364,0.96288,0.80628,0.57058,0.29968,0.81562,0.00109,0.00109,0.00109
47,101843,0.5505,0.29346,0.81639,0.9513,0.90533,0.96359,0.80779,0.56877,0.29779,0.81498,0.000892,0.000892,0.000892
48,103008,0.5453,0.28872,0.81496,0.95267,0.9064,0.96435,0.80915,0.56702,0.29603,0.81436,0.000694,0.000694,0.000694
49,104173,0.54135,0.28457,0.81449,0.95358,0.90747,0.96501,0.81049,0.56536,0.29434,0.8138,0.000496,0.000496,0.000496
50,105338,0.53758,0.28093,0.8137,0.95419,0.90906,0.96568,0.81167,0.5637,0.29273,0.81328,0.000298,0.000298,0.000298
