epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1046.42,3.81641,5.16382,3.9434,0.22041,0.16552,0.1438,0.0655,2.30379,inf,1.95152,0.00333013,0.00333013,0.00333013
2,1952.4,1.74586,1.77133,1.53073,0.52387,0.41584,0.43066,0.25446,1.41172,inf,1.26991,0.00653153,0.00653153,0.00653153
3,2846.95,1.30774,1.16297,1.22505,0.61304,0.51378,0.54903,0.34855,1.18258,0.97359,1.13249,0.00960093,0.00960093,0.00960093
4,3734.33,1.12229,0.93004,1.11506,0.70059,0.57922,0.64611,0.43118,1.07759,0.7992,1.05803,0.009406,0.009406,0.009406
5,4622.73,1.03255,0.82155,1.0629,0.74271,0.61504,0.69404,0.47062,1.01795,0.72722,1.02101,0.009208,0.009208,0.009208
6,5509.46,0.98866,0.76678,1.03606,0.76631,0.63188,0.71947,0.49727,0.9822,0.68346,0.99899,0.00901,0.00901,0.00901
7,6395.52,0.95755,0.73201,1.01791,0.78814,0.64851,0.74242,0.51818,0.95233,0.64663,0.98209,0.008812,0.008812,0.008812
8,7283.21,0.92949,0.70542,1.00468,0.79509,0.6621,0.75709,0.55034,0.87028,0.61385,0.96498,0.008614,0.008614,0.008614
9,8170.24,0.90307,0.68546,0.9943,0.80727,0.67217,0.76833,0.56484,0.84487,0.59253,0.95402,0.008416,0.008416,0.008416
10,9069.15,0.88826,0.66955,0.98635,0.81362,0.67771,0.77626,0.57498,0.8307,0.58059,0.94558,0.008218,0.008218,0.008218
11,9963.47,0.87528,0.65709,0.9773,0.81819,0.68612,0.78381,0.58381,0.82484,0.57184,0.93974,0.00802,0.00802,0.00802
12,10848.9,0.87135,0.65152,0.9692,0.82348,0.69373,0.79102,0.59121,0.81969,0.56971,0.9329,0.007822,0.007822,0.007822
13,11733.9,0.8673,0.64548,0.96385,0.82659,0.69914,0.79664,0.59701,0.81265,0.56178,0.92826,0.007624,0.007624,0.007624
14,12621.1,0.85839,0.63649,0.95931,0.82722,0.7042,0.80041,0.60137,0.80697,0.55539,0.92491,0.007426,0.007426,0.007426
15,13509.3,0.8505,0.62666,0.95478,0.83096,0.70597,0.80367,0.60489,0.80297,0.55003,0.92251,0.007228,0.007228,0.007228
16,14403.7,0.84603,0.62137,0.95162,0.83276,0.7085,0.8063,0.60761,0.79941,0.54609,0.92049,0.00703,0.00703,0.00703
17,15298.6,0.83936,0.61385,0.94776,0.83453,0.71037,0.80846,0.61009,0.79669,0.54299,0.91878,0.006832,0.006832,0.006832
18,16425.3,0.83412,0.60569,0.94418,0.83552,0.71208,0.81038,0.61222,0.79434,0.54006,0.91738,0.006634,0.006634,0.006634
19,17340.9,0.82742,0.6001,0.94192,0.83629,0.71415,0.81212,0.61415,0.79213,0.5375,0.91614,0.006436,0.006436,0.006436
20,18225.6,0.82325,0.59377,0.9387,0.83866,0.71493,0.81366,0.61589,0.79027,0.53523,0.91501,0.006238,0.006238,0.006238
21,19110.7,0.82233,0.59142,0.93755,0.83976,0.71641,0.81512,0.61745,0.78865,0.53319,0.91401,0.00604,0.00604,0.00604
22,19996.7,0.81648,0.58468,0.93446,0.84197,0.7172,0.81662,0.6191,0.78701,0.53128,0.913,0.005842,0.005842,0.005842
23,20880.7,0.81361,0.58115,0.93324,0.84327,0.71864,0.81804,0.62069,0.78561,0.52934,0.91208,0.005644,0.005644,0.005644
24,21764.8,0.80962,0.57642,0.93063,0.84469,0.72006,0.81961,0.62224,0.78429,0.52742,0.91116,0.005446,0.005446,0.005446
25,22649.5,0.8073,0.57289,0.92917,0.84571,0.72174,0.82108,0.62394,0.78262,0.52542,0.9101,0.005248,0.005248,0.005248
26,23534.9,0.80091,0.56745,0.9268,0.84664,0.72326,0.82253,0.62561,0.78097,0.52357,0.90911,0.00505,0.00505,0.00505
27,24419.1,0.79974,0.56403,0.92551,0.84702,0.72518,0.82392,0.62715,0.77937,0.52153,0.90806,0.004852,0.004852,0.004852
28,25303.9,0.79554,0.56006,0.92399,0.84941,0.72559,0.82535,0.62875,0.77774,0.51951,0.907,0.004654,0.004654,0.004654
29,26188.3,0.79229,0.55645,0.92172,0.85046,0.72698,0.82687,0.63029,0.77603,0.51754,0.90598,0.004456,0.004456,0.004456
30,27072.2,0.79088,0.55512,0.92065,0.85137,0.72818,0.82818,0.63171,0.77466,0.51561,0.90499,0.004258,0.004258,0.004258
31,27955.1,0.78794,0.54985,0.91938,0.85268,0.72955,0.82963,0.63328,0.77296,0.51353,0.90396,0.00406,0.00406,0.00406
32,28838.2,0.78428,0.5448,0.9169,0.85444,0.73034,0.83105,0.63485,0.77155,0.51153,0.90297,0.003862,0.003862,0.003862
33,29721.8,0.78247,0.54378,0.91607,0.8555,0.73164,0.83251,0.63649,0.76977,0.50954,0.90194,0.003664,0.003664,0.003664
34,30604.7,0.77773,0.53801,0.91406,0.85709,0.73306,0.83397,0.6382,0.76798,0.50728,0.90088,0.003466,0.003466,0.003466
35,31488.2,0.77684,0.53539,0.91309,0.85721,0.73508,0.83533,0.63978,0.76637,0.50523,0.89991,0.003268,0.003268,0.003268
36,32370.8,0.77289,0.53101,0.91099,0.85867,0.73616,0.83668,0.64139,0.76449,0.50304,0.89886,0.00307,0.00307,0.00307
37,33253.1,0.76951,0.52765,0.91019,0.86068,0.73752,0.83813,0.64303,0.76261,0.50078,0.89783,0.002872,0.002872,0.002872
38,34135.6,0.76447,0.52286,0.90815,0.86165,0.73909,0.83947,0.64448,0.76096,0.49894,0.89687,0.002674,0.002674,0.002674
39,35017.4,0.76432,0.52042,0.90731,0.86242,0.74076,0.84097,0.64611,0.75903,0.49678,0.89581,0.002476,0.002476,0.002476
40,35900.3,0.76178,0.51778,0.90573,0.86308,0.7426,0.84236,0.64769,0.75751,0.4949,0.89482,0.002278,0.002278,0.002278
41,36782.1,0.72508,0.46873,0.88554,0.86328,0.74488,0.84395,0.64948,0.75528,0.4922,0.89359,0.00208,0.00208,0.00208
42,37659.2,0.71941,0.46232,0.88328,0.86516,0.74665,0.84575,0.65161,0.75284,0.48929,0.89227,0.001882,0.001882,0.001882
43,38535.6,0.71573,0.45831,0.88259,0.86682,0.748,0.84753,0.65358,0.75061,0.48635,0.89112,0.001684,0.001684,0.001684
44,39411.7,0.70986,0.45238,0.88023,0.86832,0.74969,0.84925,0.65551,0.7484,0.4836,0.88993,0.001486,0.001486,0.001486
45,40287.8,0.70644,0.44811,0.87871,0.86966,0.7513,0.85091,0.65755,0.74601,0.48079,0.8887,0.001288,0.001288,0.001288
46,41162.7,0.70252,0.44333,0.87724,0.8712,0.75301,0.8526,0.65953,0.74371,0.47811,0.88752,0.00109,0.00109,0.00109
47,42038,0.69814,0.43911,0.87524,0.87187,0.75516,0.85428,0.66131,0.74134,0.47538,0.88626,0.000892,0.000892,0.000892
48,42912.8,0.69471,0.43384,0.87411,0.87288,0.75734,0.85583,0.66306,0.73912,0.47255,0.88512,0.000694,0.000694,0.000694
49,43786.9,0.69163,0.42939,0.87307,0.87379,0.75952,0.85744,0.66483,0.73696,0.46983,0.88401,0.000496,0.000496,0.000496
50,44662,0.68847,0.42557,0.87203,0.87537,0.76082,0.85904,0.66648,0.73493,0.46707,0.88295,0.000298,0.000298,0.000298
