epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2439.18,0.88094,0.46614,0.95953,0.87178,0.74223,0.83419,0.60563,0.82263,0.44125,0.92698,0.00333173,0.00333173,0.00333173
2,4814.28,0.80838,0.42795,0.91754,0.87432,0.75045,0.84133,0.61144,0.81139,0.44148,0.92085,0.0065331,0.0065331,0.0065331
3,7189.11,0.82595,0.45243,0.92447,0.85502,0.73608,0.8277,0.59294,0.83243,0.47046,0.92993,0.00960246,0.00960246,0.00960246
4,9554.39,0.84832,0.47848,0.93716,0.85895,0.73787,0.82697,0.59374,0.82973,0.47109,0.93456,0.009406,0.009406,0.009406
5,11918.1,0.84583,0.47625,0.93551,0.86106,0.74113,0.83122,0.59717,0.81994,0.46492,0.92962,0.009208,0.009208,0.009208
6,14284.4,0.83964,0.47414,0.93385,0.86496,0.75154,0.8387,0.60544,0.81085,0.45261,0.92591,0.00901,0.00901,0.00901
7,16650,0.83715,0.47022,0.93122,0.86535,0.75547,0.84344,0.61273,0.79675,0.44442,0.92028,0.008812,0.008812,0.008812
8,19012.8,0.83181,0.46594,0.92774,0.87289,0.76165,0.84897,0.62007,0.78868,0.43418,0.91364,0.008614,0.008614,0.008614
9,21376.6,0.82633,0.46222,0.9271,0.87556,0.76878,0.8541,0.62618,0.78051,0.4277,0.91477,0.008416,0.008416,0.008416
10,23744,0.82336,0.45874,0.92536,0.87598,0.77841,0.85975,0.63149,0.77287,0.42075,0.90906,0.008218,0.008218,0.008218
11,26112.7,0.818,0.45456,0.92532,0.88484,0.78151,0.86458,0.63745,0.76562,0.41299,0.91041,0.00802,0.00802,0.00802
12,28479.7,0.81498,0.45222,0.92171,0.88549,0.78824,0.8695,0.64326,0.75907,0.40638,0.90478,0.007822,0.007822,0.007822
13,30851.4,0.81188,0.44836,0.92266,0.88283,0.79652,0.87294,0.64855,0.75297,0.40126,0.90422,0.007624,0.007624,0.007624
14,33216.7,0.80723,0.4452,0.92228,0.88399,0.80022,0.87647,0.6521,0.74749,0.3962,0.90386,0.007426,0.007426,0.007426
15,35580.7,0.80356,0.44122,0.92134,0.88811,0.80074,0.87843,0.65524,0.74142,0.39115,0.90152,0.007228,0.007228,0.007228
16,37947,0.80131,0.43973,0.92165,0.89427,0.80159,0.88074,0.65823,0.73831,0.38871,0.90116,0.00703,0.00703,0.00703
17,40310.4,0.79859,0.43536,0.91568,0.89419,0.80716,0.88365,0.66175,0.73388,0.38382,0.89739,0.006832,0.006832,0.006832
18,42676.5,0.79462,0.43306,0.91432,0.89779,0.80738,0.88639,0.66467,0.73011,0.38066,0.89528,0.006634,0.006634,0.006634
19,45045.4,0.7922,0.43061,0.91449,0.89606,0.81355,0.88809,0.66684,0.72696,0.37832,0.89413,0.006436,0.006436,0.006436
20,47420.1,0.78685,0.42613,0.90895,0.89656,0.81503,0.88943,0.669,0.72366,0.37597,0.89209,0.006238,0.006238,0.006238
21,49786.8,0.78343,0.42241,0.90732,0.89832,0.8156,0.89056,0.67089,0.72035,0.37362,0.89059,0.00604,0.00604,0.00604
22,52153.9,0.77906,0.42005,0.90604,0.89676,0.819,0.89156,0.67256,0.7174,0.37152,0.88938,0.005842,0.005842,0.005842
23,54516.4,0.77634,0.41662,0.90728,0.90116,0.81751,0.89244,0.67416,0.71535,0.36963,0.88879,0.005644,0.005644,0.005644
