epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1260.5,3.04817,3.86393,3.23882,0.30932,0.22678,0.2117,0.10339,1.84111,1.67986,1.74659,0.00333017,0.00333017,0.00333017
2,2512.98,1.40439,1.19795,1.38647,0.57945,0.4178,0.45457,0.28041,1.17409,0.92643,1.20887,0.00663052,0.00663052,0.00663052
3,3744.04,1.09944,0.81163,1.1508,0.6815,0.51362,0.57777,0.37228,1.0336,0.76467,1.11119,0.00989787,0.00989787,0.00989787
4,4966.98,0.99294,0.69927,1.08469,0.72607,0.58793,0.65746,0.43894,0.93904,0.64886,1.05749,0.0098515,0.0098515,0.0098515
5,6188.83,0.91664,0.62072,1.0405,0.7582,0.62787,0.70356,0.48043,0.89458,0.58975,1.02969,0.009802,0.009802,0.009802
6,7412.19,0.87057,0.5737,1.01386,0.78104,0.64617,0.72846,0.50356,0.8666,0.55523,1.01252,0.0097525,0.0097525,0.0097525
7,8635.81,0.83636,0.54018,0.99437,0.79167,0.66784,0.74874,0.52274,0.84156,0.52761,1.00137,0.009703,0.009703,0.009703
8,9859.35,0.81092,0.51414,0.98008,0.80536,0.67968,0.762,0.5355,0.82636,0.50858,0.99175,0.0096535,0.0096535,0.0096535
9,11082.2,0.78913,0.49311,0.96867,0.81141,0.68978,0.77162,0.54555,0.81403,0.49486,0.98571,0.009604,0.009604,0.009604
10,12305,0.7701,0.47566,0.95814,0.80937,0.69986,0.77817,0.55183,0.80466,0.48472,0.98295,0.0095545,0.0095545,0.0095545
11,13529.5,0.75367,0.45925,0.9487,0.81443,0.70633,0.78535,0.55944,0.7972,0.47518,0.98043,0.009505,0.009505,0.009505
12,14752.7,0.73928,0.44546,0.94052,0.8115,0.71422,0.79083,0.5655,0.79096,0.46765,0.97602,0.0094555,0.0094555,0.0094555
13,15977.9,0.72632,0.4333,0.93325,0.81945,0.71743,0.79456,0.56918,0.78538,0.46145,0.97627,0.009406,0.009406,0.009406
14,17202.3,0.71261,0.42181,0.92626,0.81815,0.72055,0.79678,0.57252,0.78066,0.45961,0.97504,0.0093565,0.0093565,0.0093565
15,18427.4,0.70082,0.41153,0.92097,0.82313,0.72522,0.80025,0.57551,0.7777,0.45328,0.9747,0.009307,0.009307,0.009307
16,19651.7,0.69033,0.40153,0.9153,0.82183,0.72934,0.80221,0.57842,0.77463,0.44864,0.97474,0.0092575,0.0092575,0.0092575
17,20877.8,0.67997,0.3937,0.90964,0.81909,0.73335,0.80323,0.57974,0.772,0.44866,0.97498,0.009208,0.009208,0.009208
18,22104.9,0.66942,0.38435,0.90461,0.8242,0.73202,0.80414,0.58181,0.76963,0.4456,0.97489,0.0091585,0.0091585,0.0091585
19,23330.1,0.66054,0.37744,0.90044,0.83062,0.7304,0.80449,0.58215,0.76824,0.44529,0.97488,0.009109,0.009109,0.009109
20,24557.4,0.65177,0.37146,0.89618,0.82458,0.73441,0.80559,0.58408,0.76703,0.44432,0.97584,0.0090595,0.0090595,0.0090595
21,25783.4,0.64431,0.36439,0.89274,0.82578,0.73665,0.80637,0.58468,0.76592,0.44434,0.97667,0.00901,0.00901,0.00901
22,27010.4,0.63602,0.35872,0.88889,0.82627,0.73774,0.80732,0.58547,0.76413,0.44338,0.97639,0.0089605,0.0089605,0.0089605
23,28251.9,0.62807,0.35277,0.88527,0.82846,0.73799,0.80711,0.58591,0.76339,0.44253,0.97702,0.008911,0.008911,0.008911
