epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1264.31,3.0091,3.83153,3.18442,0.27865,0.21255,0.19676,0.09488,1.87717,1.70644,1.74784,0.00333017,0.00333017,0.00333017
2,2518.1,1.42965,1.23078,1.39795,0.54196,0.41876,0.45147,0.271,1.21146,0.94252,1.22039,0.00663052,0.00663052,0.00663052
3,3746.96,1.12288,0.83915,1.16021,0.68066,0.50563,0.56666,0.36311,1.04496,0.77786,1.11277,0.00989787,0.00989787,0.00989787
4,4971.8,1.01724,0.72706,1.09453,0.7169,0.57109,0.63715,0.4199,0.96433,0.67697,1.0645,0.0098515,0.0098515,0.0098515
5,6192.77,0.9471,0.65079,1.05365,0.74949,0.60174,0.68051,0.46214,0.91546,0.61004,1.03611,0.009802,0.009802,0.009802
6,7414.43,0.90339,0.60588,1.02897,0.7695,0.63369,0.71327,0.48761,0.87996,0.57689,1.01569,0.0097525,0.0097525,0.0097525
7,8636.73,0.87561,0.57645,1.01324,0.78511,0.64868,0.73326,0.50701,0.85673,0.54657,1.00229,0.009703,0.009703,0.009703
8,9861.2,0.85316,0.55242,1.00017,0.79563,0.65962,0.74508,0.51937,0.84225,0.52463,0.99373,0.0096535,0.0096535,0.0096535
9,11084.6,0.83565,0.53493,0.99046,0.80068,0.67481,0.75916,0.53349,0.82581,0.51005,0.98628,0.009604,0.009604,0.009604
10,12306,0.82122,0.52059,0.98269,0.80566,0.68578,0.77038,0.54501,0.8121,0.49557,0.97911,0.0095545,0.0095545,0.0095545
11,13526.6,0.80956,0.50751,0.9764,0.81772,0.69025,0.77798,0.55209,0.80403,0.48618,0.97424,0.009505,0.009505,0.009505
12,14750.7,0.79792,0.49611,0.96963,0.81933,0.69817,0.78456,0.55828,0.7973,0.47687,0.97172,0.0094555,0.0094555,0.0094555
13,15974,0.7884,0.4863,0.96459,0.82628,0.70393,0.79019,0.56634,0.78953,0.46832,0.96848,0.009406,0.009406,0.009406
14,17197.9,0.7796,0.47721,0.95991,0.82939,0.71321,0.79841,0.57272,0.78063,0.45922,0.96431,0.0093565,0.0093565,0.0093565
15,18420.5,0.77189,0.47017,0.95578,0.83275,0.71725,0.80193,0.57616,0.77692,0.45451,0.96213,0.009307,0.009307,0.009307
16,19645.3,0.76394,0.46229,0.95124,0.8294,0.72333,0.80517,0.58053,0.77342,0.44982,0.96068,0.0092575,0.0092575,0.0092575
17,20869.3,0.75759,0.45561,0.94812,0.83297,0.72742,0.80858,0.58427,0.76937,0.44508,0.95924,0.009208,0.009208,0.009208
18,22094,0.74985,0.44883,0.94386,0.83798,0.73154,0.81288,0.5881,0.76534,0.44006,0.95796,0.0091585,0.0091585,0.0091585
19,23319.9,0.74287,0.44182,0.94078,0.83327,0.73225,0.81198,0.5878,0.76398,0.43909,0.95787,0.009109,0.009109,0.009109
