epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,450.897,3.96559,5.74169,4.38848,0.00068,0.00732,0.0003,0.0001,3.91084,inf,5.61994,0.003325,0.003325,0.003325
2,876.237,2.55127,2.62446,2.23089,0.35527,0.2249,0.22367,0.11165,1.66607,1.26637,1.33558,0.00662537,0.00662537,0.00662537
3,1299.78,1.44836,1.05292,1.20371,0.52878,0.33894,0.35715,0.20379,1.24863,0.97574,1.10879,0.00989275,0.00989275,0.00989275
4,1716.32,1.153,0.7748,1.05597,0.63294,0.41181,0.45698,0.27639,1.0793,0.73359,1.03073,0.0098515,0.0098515,0.0098515
5,2131.68,1.00624,0.65404,0.99191,0.64482,0.44065,0.49548,0.30997,1.00479,0.6766,1.0007,0.009802,0.009802,0.009802
6,2545.69,0.93096,0.5932,0.96174,0.67443,0.48622,0.54453,0.34981,0.92937,0.59749,0.96576,0.0097525,0.0097525,0.0097525
7,2959.91,0.88235,0.55276,0.9423,0.69788,0.50466,0.56524,0.36516,0.89598,0.56246,0.95566,0.009703,0.009703,0.009703
8,3374.9,0.84748,0.52531,0.92896,0.70813,0.52154,0.58539,0.3839,0.86512,0.53697,0.94373,0.0096535,0.0096535,0.0096535
9,3792.87,0.81966,0.50337,0.91834,0.71294,0.53733,0.60016,0.39496,0.85361,0.51829,0.9384,0.009604,0.009604,0.009604
10,4209.37,0.79981,0.48781,0.91034,0.73496,0.53733,0.60793,0.40309,0.83738,0.5048,0.93449,0.0095545,0.0095545,0.0095545
11,4628.01,0.77973,0.472,0.90246,0.74322,0.55042,0.61957,0.41377,0.8193,0.48935,0.9286,0.009505,0.009505,0.009505
12,5043.58,0.76343,0.45954,0.89637,0.74791,0.55788,0.62788,0.42025,0.80983,0.48149,0.92556,0.0094555,0.0094555,0.0094555
13,5459.48,0.75062,0.44921,0.89118,0.753,0.56542,0.63501,0.4272,0.79856,0.47178,0.92198,0.009406,0.009406,0.009406
14,5875.42,0.73752,0.44009,0.88656,0.75161,0.57218,0.64061,0.43178,0.79302,0.46602,0.9209,0.0093565,0.0093565,0.0093565
15,6290.98,0.72659,0.43092,0.88195,0.7533,0.57689,0.64571,0.43696,0.78523,0.45853,0.91833,0.009307,0.009307,0.009307
16,6706.28,0.71593,0.42374,0.87843,0.76012,0.58372,0.65151,0.44054,0.77905,0.452,0.91646,0.0092575,0.0092575,0.0092575
17,7122.59,0.7061,0.41538,0.87465,0.77506,0.58371,0.65748,0.44668,0.77111,0.44447,0.91446,0.009208,0.009208,0.009208
18,7540.38,0.69586,0.40801,0.87087,0.76696,0.59176,0.66176,0.44979,0.76683,0.44105,0.91343,0.0091585,0.0091585,0.0091585
19,7956.6,0.6894,0.40251,0.8684,0.77549,0.59577,0.66539,0.45355,0.76112,0.43599,0.91228,0.009109,0.009109,0.009109
20,8372.21,0.67985,0.3973,0.86496,0.77703,0.59696,0.66753,0.45616,0.75643,0.43337,0.91098,0.0090595,0.0090595,0.0090595
21,8788.34,0.6729,0.39203,0.86277,0.78287,0.59635,0.66985,0.45896,0.75412,0.43008,0.91235,0.00901,0.00901,0.00901
22,9206.52,0.66698,0.38708,0.86056,0.77868,0.60205,0.67137,0.46034,0.75036,0.42761,0.91133,0.0089605,0.0089605,0.0089605
23,9621.5,0.66039,0.383,0.85844,0.78427,0.601,0.67331,0.4626,0.74634,0.42523,0.90942,0.008911,0.008911,0.008911
24,10037.5,0.65394,0.37729,0.85628,0.77761,0.60698,0.67589,0.46502,0.74403,0.42349,0.90951,0.0088615,0.0088615,0.0088615
25,10458.2,0.6487,0.37467,0.85437,0.78417,0.60676,0.67808,0.46688,0.74263,0.42153,0.91005,0.008812,0.008812,0.008812
26,10874.6,0.64278,0.36974,0.85252,0.78638,0.60799,0.67903,0.46882,0.73991,0.42004,0.90893,0.0087625,0.0087625,0.0087625
27,11290.1,0.6384,0.36687,0.85089,0.79002,0.60704,0.68029,0.46983,0.73685,0.41757,0.90838,0.008713,0.008713,0.008713
28,11708.6,0.6323,0.36319,0.84882,0.78873,0.60833,0.6809,0.47073,0.73592,0.41673,0.9086,0.0086635,0.0086635,0.0086635
29,12126.8,0.62825,0.3602,0.84759,0.78125,0.61369,0.68223,0.47093,0.73451,0.4163,0.90846,0.008614,0.008614,0.008614
30,12546.9,0.6228,0.3568,0.84612,0.78482,0.61414,0.68332,0.4727,0.73248,0.4148,0.90802,0.0085645,0.0085645,0.0085645
31,12963.3,0.61823,0.35372,0.84468,0.78691,0.61373,0.68353,0.47315,0.73195,0.41474,0.90845,0.008515,0.008515,0.008515
32,13379.9,0.61427,0.35122,0.84332,0.79283,0.61263,0.68482,0.47414,0.73124,0.41317,0.90867,0.0084655,0.0084655,0.0084655
33,13796,0.60876,0.34758,0.84126,0.78993,0.61417,0.68585,0.47501,0.73022,0.41312,0.90872,0.008416,0.008416,0.008416
34,14212.6,0.60589,0.34579,0.84069,0.78847,0.61616,0.6863,0.47566,0.72893,0.41252,0.90896,0.0083665,0.0083665,0.0083665
35,14628.9,0.6018,0.34283,0.83965,0.78384,0.61897,0.68665,0.47645,0.72771,0.41169,0.90877,0.008317,0.008317,0.008317
36,15048.7,0.59727,0.34013,0.83805,0.78783,0.61769,0.68693,0.47696,0.72728,0.4113,0.90897,0.0082675,0.0082675,0.0082675
37,15465.9,0.59315,0.33777,0.83704,0.79108,0.61751,0.68771,0.47753,0.72685,0.41104,0.90911,0.008218,0.008218,0.008218
38,15882.4,0.59017,0.33601,0.83612,0.79555,0.61581,0.68793,0.47817,0.72627,0.41042,0.90921,0.0081685,0.0081685,0.0081685
39,16298.5,0.5862,0.33245,0.83487,0.79363,0.61719,0.68848,0.47878,0.72548,0.41005,0.90908,0.008119,0.008119,0.008119
40,16715.1,0.583,0.33101,0.83399,0.79318,0.61772,0.68902,0.47917,0.72482,0.40969,0.90917,0.0080695,0.0080695,0.0080695
41,17130.5,0.57927,0.32833,0.83271,0.79524,0.6173,0.68935,0.47951,0.72439,0.40925,0.90929,0.00802,0.00802,0.00802
42,17546.2,0.57585,0.32613,0.83195,0.793,0.61782,0.68964,0.4801,0.72404,0.40879,0.90949,0.0079705,0.0079705,0.0079705
43,17962.4,0.57182,0.32443,0.83067,0.79374,0.61837,0.68994,0.48024,0.72363,0.40836,0.9095,0.007921,0.007921,0.007921
44,18380.9,0.56936,0.32238,0.82989,0.79435,0.61879,0.69042,0.48063,0.72337,0.40814,0.90963,0.0078715,0.0078715,0.0078715
45,18799.5,0.56613,0.32087,0.82913,0.79522,0.6182,0.69077,0.48099,0.72319,0.40808,0.90985,0.007822,0.007822,0.007822
46,19217.6,0.56384,0.31878,0.82848,0.79749,0.6174,0.69083,0.48127,0.72294,0.40791,0.91005,0.0077725,0.0077725,0.0077725
47,19636.2,0.5597,0.31677,0.82752,0.79782,0.61782,0.69118,0.4814,0.72278,0.40782,0.91025,0.007723,0.007723,0.007723
48,20053.8,0.55757,0.31568,0.8269,0.79303,0.62062,0.69166,0.48153,0.72252,0.40769,0.91032,0.0076735,0.0076735,0.0076735
49,20470.9,0.55315,0.31284,0.82559,0.79278,0.62063,0.69185,0.48168,0.72243,0.40777,0.91037,0.007624,0.007624,0.007624
50,20890.6,0.55045,0.31158,0.82503,0.79079,0.62177,0.6917,0.48188,0.72209,0.4078,0.91035,0.0075745,0.0075745,0.0075745
51,21308.3,0.548,0.30927,0.82451,0.78877,0.62277,0.69205,0.48217,0.7219,0.40755,0.91034,0.007525,0.007525,0.007525
52,21726.4,0.54555,0.30772,0.82396,0.79073,0.62263,0.69221,0.48217,0.72162,0.40763,0.91039,0.0074755,0.0074755,0.0074755
53,22142.5,0.54224,0.30644,0.82283,0.79317,0.62207,0.69236,0.48245,0.72123,0.40758,0.91035,0.007426,0.007426,0.007426
54,22562.4,0.53954,0.3045,0.82233,0.79065,0.62339,0.69273,0.48262,0.7212,0.40767,0.91045,0.0073765,0.0073765,0.0073765
55,22982,0.53548,0.30186,0.82141,0.79209,0.62257,0.6929,0.48295,0.72105,0.4074,0.91054,0.007327,0.007327,0.007327
56,23398.4,0.53149,0.30013,0.82017,0.79403,0.6217,0.69282,0.48314,0.72101,0.4075,0.91067,0.0072775,0.0072775,0.0072775
57,23814.2,0.53055,0.29935,0.82016,0.79407,0.62152,0.69297,0.48329,0.72087,0.40773,0.91066,0.007228,0.007228,0.007228
58,24231.8,0.52728,0.29821,0.81947,0.79431,0.62156,0.69313,0.48348,0.72079,0.40765,0.91073,0.0071785,0.0071785,0.0071785
59,24650.4,0.52586,0.29712,0.81924,0.79294,0.62295,0.69351,0.48341,0.72064,0.40773,0.91077,0.007129,0.007129,0.007129
60,25068.9,0.52172,0.29478,0.81794,0.79271,0.6233,0.69371,0.48355,0.72055,0.40774,0.91092,0.0070795,0.0070795,0.0070795
61,25486.8,0.51896,0.29236,0.81729,0.79335,0.62283,0.6939,0.48394,0.7204,0.40798,0.91098,0.00703,0.00703,0.00703
62,25906.4,0.51585,0.29109,0.81637,0.79082,0.62412,0.69377,0.48415,0.72036,0.40827,0.91111,0.0069805,0.0069805,0.0069805
63,26325.8,0.51382,0.28941,0.81625,0.79281,0.62303,0.69368,0.48432,0.7203,0.40837,0.91121,0.006931,0.006931,0.006931
64,26745.3,0.51151,0.28867,0.81566,0.79355,0.62261,0.69358,0.48445,0.72017,0.40844,0.91133,0.0068815,0.0068815,0.0068815
65,27163.4,0.50781,0.28629,0.81468,0.79378,0.62315,0.69383,0.48459,0.72002,0.40861,0.91137,0.006832,0.006832,0.006832
66,27582.4,0.50553,0.28561,0.8144,0.79181,0.62431,0.694,0.48474,0.71984,0.40871,0.9114,0.0067825,0.0067825,0.0067825
67,27999.3,0.50299,0.28395,0.81358,0.79057,0.62524,0.6942,0.48491,0.71994,0.40905,0.91158,0.006733,0.006733,0.006733
68,28416.3,0.50114,0.28267,0.81324,0.78942,0.62583,0.69392,0.48493,0.72003,0.40931,0.9118,0.0066835,0.0066835,0.0066835
69,28832.7,0.49806,0.28076,0.81254,0.79157,0.62461,0.69417,0.48497,0.72,0.40938,0.91189,0.006634,0.006634,0.006634
70,29251,0.49555,0.27942,0.81202,0.79058,0.62485,0.69423,0.48504,0.71988,0.40974,0.91198,0.0065845,0.0065845,0.0065845
71,29667.6,0.49211,0.27798,0.81122,0.7917,0.62473,0.69444,0.48531,0.71982,0.40996,0.912,0.006535,0.006535,0.006535
72,30084.5,0.4925,0.278,0.81164,0.79097,0.62474,0.69432,0.48548,0.71976,0.41015,0.91211,0.0064855,0.0064855,0.0064855
73,30502.7,0.48855,0.2762,0.81038,0.7921,0.62424,0.6944,0.48561,0.71975,0.41043,0.91219,0.006436,0.006436,0.006436
74,30921.7,0.48464,0.27458,0.80947,0.79502,0.62222,0.69443,0.48565,0.71965,0.41065,0.91224,0.0063865,0.0063865,0.0063865
75,31338.5,0.48279,0.27286,0.80944,0.79318,0.62373,0.69467,0.48574,0.71956,0.41111,0.91233,0.006337,0.006337,0.006337
76,31755.4,0.48069,0.27149,0.80927,0.79215,0.62437,0.6947,0.48577,0.71945,0.41146,0.91235,0.0062875,0.0062875,0.0062875
77,32171,0.47785,0.26927,0.80845,0.79302,0.62381,0.69475,0.48588,0.7193,0.41158,0.91235,0.006238,0.006238,0.006238
78,32587.6,0.47608,0.26918,0.80813,0.79302,0.62374,0.69488,0.48604,0.71929,0.412,0.91237,0.0061885,0.0061885,0.0061885
79,33003.9,0.47337,0.26724,0.80736,0.79245,0.62411,0.69483,0.48597,0.71931,0.41257,0.91243,0.006139,0.006139,0.006139
80,33420.7,0.47013,0.26569,0.80673,0.79481,0.62313,0.69495,0.48616,0.71919,0.41286,0.91253,0.0060895,0.0060895,0.0060895
81,33836.8,0.46778,0.26517,0.8063,0.79256,0.6238,0.69471,0.48616,0.71918,0.41338,0.91268,0.00604,0.00604,0.00604
82,34252.2,0.46564,0.26454,0.80615,0.79533,0.62235,0.69486,0.48637,0.71918,0.41369,0.91283,0.0059905,0.0059905,0.0059905
83,34669.3,0.46181,0.26165,0.80499,0.79696,0.62084,0.69484,0.48642,0.71923,0.4141,0.91295,0.005941,0.005941,0.005941
84,35088.2,0.46111,0.26109,0.80511,0.79959,0.61985,0.69497,0.48631,0.71903,0.41463,0.91299,0.0058915,0.0058915,0.0058915
