epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,950.764,3.74255,5.24593,4.22476,0.49951,0.05285,0.04603,0.01809,2.72306,3.5574,2.59699,0.00332934,0.00332934,0.00332934
2,1864.53,1.65847,1.54218,1.6126,0.52331,0.38344,0.40612,0.23566,1.3059,1.08245,1.29702,0.00662969,0.00662969,0.00662969
3,2772.13,1.15662,0.89911,1.19308,0.64578,0.49394,0.5456,0.34349,1.08614,0.86142,1.14735,0.00989704,0.00989704,0.00989704
4,3681.28,1.00523,0.72459,1.09619,0.71099,0.57405,0.63561,0.42057,0.97778,0.68848,1.07897,0.0098515,0.0098515,0.0098515
5,4597.14,0.92236,0.6357,1.04565,0.76231,0.61338,0.69502,0.47195,0.90479,0.61578,1.03647,0.009802,0.009802,0.009802
6,5509.61,0.87574,0.58529,1.01769,0.78734,0.64745,0.73141,0.50291,0.86641,0.56161,1.01189,0.0097525,0.0097525,0.0097525
7,6417.44,0.84303,0.55168,0.99845,0.80122,0.66387,0.74865,0.52131,0.84097,0.53639,0.99944,0.009703,0.009703,0.009703
8,7328.58,0.81814,0.5279,0.98419,0.80943,0.68169,0.76678,0.5396,0.82053,0.50885,0.98855,0.0096535,0.0096535,0.0096535
9,8236.32,0.79749,0.50688,0.97258,0.81191,0.69062,0.77683,0.54972,0.80824,0.49316,0.98235,0.009604,0.009604,0.009604
10,9142.26,0.7806,0.49072,0.96274,0.81552,0.70639,0.78772,0.56008,0.79625,0.48034,0.9761,0.0095545,0.0095545,0.0095545
11,10049.6,0.76476,0.47692,0.95344,0.8235,0.71084,0.79444,0.56686,0.78875,0.47121,0.97217,0.009505,0.009505,0.009505
12,10956.4,0.75121,0.46395,0.94624,0.8265,0.71681,0.79967,0.5718,0.78217,0.46335,0.97041,0.0094555,0.0094555,0.0094555
13,11864.3,0.74014,0.45397,0.94109,0.82473,0.72343,0.80357,0.57621,0.77777,0.45897,0.97013,0.009406,0.009406,0.009406
14,12773.8,0.72762,0.44311,0.9343,0.83155,0.72558,0.80667,0.57931,0.77435,0.45443,0.9689,0.0093565,0.0093565,0.0093565
15,13683.4,0.71774,0.43471,0.92849,0.82415,0.7341,0.80898,0.58205,0.77134,0.45095,0.96768,0.009307,0.009307,0.009307
16,14593.1,0.7076,0.42558,0.92324,0.83236,0.73427,0.81085,0.58394,0.76904,0.44772,0.96751,0.0092575,0.0092575,0.0092575
17,15500.3,0.69925,0.41818,0.91841,0.83078,0.73598,0.81225,0.58555,0.76715,0.44604,0.96714,0.009208,0.009208,0.009208
18,16409.7,0.69031,0.41121,0.91382,0.83183,0.73559,0.81263,0.58685,0.7659,0.44456,0.96675,0.0091585,0.0091585,0.0091585
19,17320.2,0.68277,0.40435,0.91043,0.83288,0.73627,0.81351,0.58781,0.76462,0.4433,0.96713,0.009109,0.009109,0.009109
20,18228.9,0.67495,0.39847,0.90684,0.82804,0.73973,0.81409,0.58828,0.76369,0.44232,0.96749,0.0090595,0.0090595,0.0090595
21,19137.5,0.6682,0.39278,0.90259,0.83139,0.7386,0.81417,0.58893,0.76311,0.4418,0.96757,0.00901,0.00901,0.00901
22,20046.9,0.66133,0.38823,0.8997,0.83489,0.73748,0.81477,0.5898,0.7626,0.44126,0.96782,0.0089605,0.0089605,0.0089605
23,20958.5,0.65495,0.38208,0.89639,0.83296,0.74071,0.81546,0.59042,0.76211,0.44069,0.968,0.008911,0.008911,0.008911
24,21869,0.64866,0.37752,0.89343,0.83517,0.7399,0.81587,0.59071,0.76183,0.4404,0.96824,0.0088615,0.0088615,0.0088615
25,22778.7,0.64266,0.37331,0.89043,0.83366,0.74168,0.81627,0.59132,0.76145,0.43987,0.96844,0.008812,0.008812,0.008812
