epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,943.781,3.62042,5.01205,3.97043,0.36798,0.12342,0.08761,0.03337,2.47119,2.42683,2.29061,0.003329,0.003329,0.003329
2,1855.07,1.67793,1.52872,1.61334,0.51088,0.38047,0.4018,0.23467,1.32039,1.10575,1.31113,0.00662936,0.00662936,0.00662936
3,2764.25,1.19552,0.92281,1.22154,0.58789,0.45357,0.48525,0.29905,1.12096,0.98076,1.17442,0.00989671,0.00989671,0.00989671
4,3671.97,1.03879,0.74929,1.11871,0.68409,0.56454,0.62144,0.40564,0.99752,0.70886,1.09261,0.0098515,0.0098515,0.0098515
5,4578.81,0.95611,0.66081,1.06741,0.73616,0.59485,0.67112,0.45016,0.93393,0.63477,1.05474,0.009802,0.009802,0.009802
6,5486.01,0.9123,0.61401,1.04035,0.76463,0.63048,0.71148,0.48483,0.88971,0.5813,1.02584,0.0097525,0.0097525,0.0097525
7,6393.41,0.88398,0.5848,1.02324,0.7864,0.64282,0.73042,0.50456,0.86209,0.55308,1.01093,0.009703,0.009703,0.009703
8,7300.43,0.86192,0.56133,1.01039,0.796,0.66362,0.74858,0.52029,0.8438,0.53146,0.9996,0.0096535,0.0096535,0.0096535
9,8207.52,0.84428,0.54397,0.99986,0.8033,0.67453,0.76165,0.53373,0.82799,0.51283,0.99107,0.009604,0.009604,0.009604
10,9115.34,0.8302,0.52925,0.99058,0.81535,0.68278,0.77289,0.5456,0.81335,0.50001,0.98428,0.0095545,0.0095545,0.0095545
11,10023.4,0.81758,0.51703,0.98414,0.81085,0.69643,0.77937,0.55209,0.80497,0.48826,0.97928,0.009505,0.009505,0.009505
12,10931.5,0.8068,0.50662,0.97813,0.82052,0.70256,0.78822,0.56048,0.79548,0.47827,0.97393,0.0094555,0.0094555,0.0094555
13,11840.1,0.79725,0.4969,0.97236,0.8327,0.70353,0.79434,0.56644,0.78838,0.47126,0.96981,0.009406,0.009406,0.009406
14,12748.3,0.78852,0.48963,0.96712,0.83058,0.71625,0.80168,0.57452,0.77972,0.46225,0.96621,0.0093565,0.0093565,0.0093565
15,13657.1,0.78105,0.48188,0.96264,0.82979,0.72071,0.8036,0.57794,0.77617,0.45777,0.96453,0.009307,0.009307,0.009307
16,14566,0.77392,0.47526,0.9593,0.83178,0.72151,0.8054,0.58007,0.77188,0.45358,0.96308,0.0092575,0.0092575,0.0092575
17,15476,0.76744,0.46882,0.95582,0.83266,0.7309,0.81083,0.58371,0.76848,0.44916,0.96101,0.009208,0.009208,0.009208
18,16384.8,0.76001,0.46286,0.9511,0.8335,0.73296,0.81399,0.588,0.76356,0.44494,0.95929,0.0091585,0.0091585,0.0091585
19,17290.6,0.75454,0.45727,0.94869,0.83398,0.7344,0.81463,0.58867,0.7639,0.44462,0.95918,0.009109,0.009109,0.009109
