epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1696.18,0.799,0.53986,0.93248,0.84025,0.71978,0.81252,0.58492,0.79789,0.48375,0.90583,0.0700348,0.00332947,0.00332947
2,3396.75,0.80256,0.53424,0.93732,0.83705,0.71805,0.80897,0.57875,0.80659,0.49564,0.91325,0.0400018,0.00662982,0.00662982
3,5100.63,0.81624,0.54393,0.94352,0.81554,0.68958,0.77871,0.54759,0.84267,0.53716,0.9318,0.0099358,0.00989718,0.00989718
4,6802.61,0.83126,0.55943,0.95082,0.81105,0.68824,0.7778,0.54675,0.84553,0.52981,0.93699,0.0098515,0.0098515,0.0098515
5,8505.79,0.82941,0.55557,0.951,0.81293,0.69496,0.78204,0.55296,0.8403,0.52569,0.93605,0.0098515,0.0098515,0.0098515
6,10207.3,0.82999,0.55345,0.95037,0.82184,0.70171,0.79168,0.55951,0.83174,0.51574,0.92776,0.009802,0.009802,0.009802
7,11908.8,0.82692,0.55044,0.94995,0.82545,0.71053,0.79749,0.56615,0.8245,0.50234,0.92922,0.0097525,0.0097525,0.0097525
8,13612.4,0.82589,0.54743,0.94945,0.83203,0.71286,0.80313,0.57091,0.81846,0.50164,0.92805,0.009703,0.009703,0.009703
9,15316.6,0.82329,0.54517,0.94861,0.83542,0.72033,0.80948,0.57941,0.80945,0.48963,0.92428,0.0096535,0.0096535,0.0096535
10,17016.8,0.82331,0.54365,0.94782,0.84081,0.72665,0.81433,0.58258,0.80561,0.48637,0.92382,0.009604,0.009604,0.009604
11,18717.7,0.81999,0.54039,0.94635,0.84579,0.73097,0.81853,0.58743,0.7996,0.48044,0.92153,0.0095545,0.0095545,0.0095545
