epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1734.13,0.78942,0.52895,0.92819,0.84048,0.72449,0.81602,0.58913,0.79085,0.47942,0.90381,0.0700348,0.00332947,0.00332947
2,3461.99,0.79309,0.52452,0.93284,0.83384,0.72206,0.81168,0.5824,0.80362,0.48911,0.90639,0.0400128,0.00664082,0.00664082
3,5190.33,0.81028,0.53942,0.94072,0.81657,0.69649,0.78592,0.55354,0.83497,0.52728,0.92731,0.00996879,0.00993016,0.00993016
4,6923.66,0.82953,0.56101,0.9498,0.81696,0.69278,0.78267,0.55304,0.83635,0.52495,0.93,0.009901,0.009901,0.009901
5,8651.31,0.82888,0.55786,0.95062,0.81674,0.69673,0.7871,0.55684,0.8314,0.5212,0.92982,0.009901,0.009901,0.009901
6,10380.3,0.82965,0.5565,0.95036,0.81938,0.70265,0.79136,0.56101,0.82618,0.51512,0.92849,0.009868,0.009868,0.009868
7,12107.3,0.82658,0.55325,0.94988,0.82481,0.70942,0.797,0.56688,0.81918,0.50143,0.92717,0.009835,0.009835,0.009835
8,13835.3,0.8256,0.54989,0.94948,0.83689,0.71321,0.80341,0.57402,0.81174,0.49521,0.92438,0.009802,0.009802,0.009802
9,15563.5,0.82268,0.54796,0.94825,0.83872,0.72264,0.80995,0.58111,0.80402,0.48728,0.92172,0.009769,0.009769,0.009769
10,17288.9,0.82261,0.54631,0.94766,0.84221,0.72693,0.81499,0.58525,0.80058,0.48239,0.92075,0.009736,0.009736,0.009736
11,19015.9,0.81937,0.54284,0.94659,0.84287,0.73308,0.8191,0.59009,0.7955,0.47825,0.91984,0.009703,0.009703,0.009703
12,20743.2,0.8204,0.54302,0.94672,0.85251,0.73256,0.82285,0.59368,0.79135,0.47346,0.91781,0.00967,0.00967,0.00967
13,22469.6,0.81916,0.53958,0.94637,0.84945,0.74011,0.82523,0.59721,0.78758,0.47179,0.91703,0.009637,0.009637,0.009637
14,24196.2,0.8169,0.53831,0.94533,0.85047,0.74298,0.82835,0.59994,0.784,0.46989,0.91585,0.009604,0.009604,0.009604
15,25923.9,0.81582,0.53612,0.9448,0.85545,0.74264,0.83017,0.60237,0.78245,0.46876,0.91555,0.009571,0.009571,0.009571
16,27650.9,0.81503,0.53483,0.94402,0.85677,0.74532,0.83204,0.60444,0.78,0.46772,0.91445,0.009538,0.009538,0.009538
