epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2412.63,0.78758,0.54309,0.92555,0.84337,0.72913,0.81861,0.59169,0.78822,0.47627,0.90105,0.0700312,0.00332987,0.00332987
2,4563.97,0.79762,0.54432,0.93266,0.83589,0.72166,0.80915,0.57941,0.80803,0.49617,0.90886,0.0400092,0.00664121,0.00664121
3,6716.18,0.8152,0.56038,0.93972,0.81574,0.69404,0.78184,0.55196,0.84203,0.53288,0.9303,0.00996521,0.00993056,0.00993056
4,9274.59,0.84008,0.58758,0.95112,0.81277,0.68609,0.77381,0.5453,0.84333,0.53775,0.93209,0.009901,0.009901,0.009901
5,11808,0.83835,0.58411,0.95057,0.82267,0.69258,0.78505,0.55521,0.83719,0.52725,0.92966,0.009901,0.009901,0.009901
6,14618.4,0.83975,0.5819,0.95071,0.83014,0.70379,0.7941,0.56393,0.83087,0.51367,0.92801,0.009868,0.009868,0.009868
7,17888.5,0.83546,0.5766,0.94913,0.83009,0.71103,0.79882,0.56819,0.82042,0.50808,0.92505,0.009835,0.009835,0.009835
8,21405.1,0.83585,0.57634,0.94928,0.83111,0.72095,0.80725,0.57638,0.81435,0.49677,0.92348,0.009802,0.009802,0.009802
9,23583.3,0.83183,0.57107,0.94783,0.83849,0.72395,0.81209,0.58217,0.80754,0.49401,0.92047,0.009769,0.009769,0.009769
10,25733.6,0.83281,0.57012,0.94769,0.84285,0.73104,0.8178,0.5882,0.80206,0.48752,0.9191,0.009736,0.009736,0.009736
11,27916.3,0.82892,0.56575,0.94581,0.84741,0.73492,0.82201,0.59198,0.79869,0.48335,0.91864,0.009703,0.009703,0.009703
12,30086.5,0.82923,0.56516,0.94632,0.85053,0.73809,0.82555,0.59573,0.79549,0.48329,0.91743,0.00967,0.00967,0.00967
13,32249.7,0.82914,0.56297,0.94682,0.85476,0.74257,0.82868,0.5985,0.79114,0.48465,0.9157,0.009637,0.009637,0.009637
14,34403.8,0.82599,0.55986,0.94526,0.85519,0.74695,0.83168,0.60087,0.78871,0.48419,0.9143,0.009604,0.009604,0.009604
15,36552.5,0.82434,0.55842,0.94434,0.85712,0.74634,0.83373,0.60303,0.78688,0.48441,0.91387,0.009571,0.009571,0.009571
16,38700.8,0.82433,0.55637,0.94399,0.85337,0.74949,0.83423,0.60406,0.78541,0.48462,0.91329,0.009538,0.009538,0.009538
17,40846.7,0.823,0.55577,0.94451,0.85641,0.74973,0.83515,0.60503,0.78429,0.48373,0.91279,0.009505,0.009505,0.009505
18,42994.5,0.82243,0.5535,0.94323,0.85611,0.75137,0.83566,0.60623,0.78318,0.48326,0.91225,0.009472,0.009472,0.009472
19,45141.8,0.82157,0.55308,0.94327,0.85739,0.751,0.83644,0.60688,0.78235,0.4823,0.9119,0.009439,0.009439,0.009439
20,47287.8,0.82054,0.55303,0.9424,0.85716,0.75271,0.83736,0.60755,0.78159,0.48207,0.91157,0.009406,0.009406,0.009406
21,49434.4,0.82051,0.55135,0.9427,0.85847,0.75252,0.83785,0.60826,0.7812,0.48167,0.91133,0.009373,0.009373,0.009373
22,51580.5,0.81852,0.54976,0.94205,0.8584,0.75317,0.8384,0.60865,0.78095,0.48128,0.91122,0.00934,0.00934,0.00934
23,53725.2,0.82044,0.55049,0.94269,0.85828,0.75356,0.83875,0.6092,0.78056,0.4805,0.91104,0.009307,0.009307,0.009307
24,55874.7,0.81597,0.54681,0.94076,0.85982,0.75345,0.8394,0.60948,0.78006,0.47997,0.91091,0.009274,0.009274,0.009274
25,58036,0.8176,0.54676,0.9409,0.85824,0.75535,0.8397,0.61004,0.77964,0.4795,0.91068,0.009241,0.009241,0.009241
26,60184,0.81668,0.54561,0.94034,0.85824,0.75595,0.83981,0.61028,0.7793,0.47893,0.9106,0.009208,0.009208,0.009208
27,62334.9,0.81654,0.54591,0.94085,0.85878,0.75565,0.8402,0.61071,0.77897,0.47818,0.91035,0.009175,0.009175,0.009175
28,64482.8,0.81514,0.5442,0.94038,0.85852,0.75652,0.84046,0.61122,0.77852,0.4776,0.91016,0.009142,0.009142,0.009142
