epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,960.441,0.7978,0.47342,0.90665,0.83499,0.72928,0.81743,0.58974,0.78717,0.48048,0.9059,0.0700288,0.00333013,0.00333013
2,1863.91,0.80727,0.48475,0.90929,0.82914,0.71662,0.80608,0.57753,0.80365,0.50017,0.90973,0.0399958,0.00663048,0.00663048
3,2799.04,0.83498,0.51689,0.91951,0.81165,0.67752,0.7685,0.53784,0.84847,0.54854,0.93243,0.00992982,0.00989783,0.00989783
4,3767.74,0.86841,0.5558,0.93382,0.80998,0.67108,0.76631,0.53815,0.84487,0.55245,0.92776,0.0098515,0.0098515,0.0098515
5,4715.68,0.86793,0.55493,0.93406,0.80682,0.68597,0.77405,0.5459,0.83456,0.54252,0.92317,0.009802,0.009802,0.009802
6,5648.71,0.86623,0.55149,0.93389,0.8223,0.69449,0.78441,0.55543,0.82432,0.52344,0.92318,0.0097525,0.0097525,0.0097525
7,6568.3,0.86527,0.54993,0.93404,0.82417,0.70045,0.79044,0.56376,0.81173,0.51667,0.91803,0.009703,0.009703,0.009703
8,7481.66,0.86217,0.54713,0.93174,0.83349,0.70603,0.7985,0.57151,0.80449,0.49993,0.91351,0.0096535,0.0096535,0.0096535
9,8391.9,0.85999,0.54459,0.93193,0.83111,0.71372,0.80194,0.57479,0.80021,0.49567,0.91393,0.009604,0.009604,0.009604
10,9313.24,0.85767,0.5421,0.93047,0.82916,0.7205,0.80758,0.58049,0.79347,0.48889,0.90928,0.0095545,0.0095545,0.0095545
11,10222.3,0.85542,0.53903,0.92942,0.83921,0.7225,0.81179,0.58623,0.78749,0.48337,0.90855,0.009505,0.009505,0.009505
12,11134.3,0.85432,0.53731,0.92889,0.84213,0.72647,0.81529,0.58973,0.78287,0.47789,0.90614,0.0094555,0.0094555,0.0094555
13,12049.5,0.85275,0.53568,0.92786,0.84428,0.73029,0.81897,0.59359,0.77991,0.47318,0.90452,0.009406,0.009406,0.009406
