epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1178,1.11586,0.97488,1.08183,0.72038,0.59003,0.66368,0.45067,0.93099,0.66742,0.96344,0.0700096,0.00333227,0.00333227
2,2347.5,0.95069,0.66864,0.98345,0.76493,0.6322,0.71353,0.4908,0.89935,0.61362,0.94547,0.0399766,0.00663261,0.00663261
3,3509.95,0.9549,0.66544,0.98218,0.76852,0.629,0.71292,0.48878,0.90629,0.61691,0.94766,0.00991061,0.00989994,0.00989994
4,4654.22,0.96343,0.6708,0.98504,0.78008,0.64347,0.72974,0.50558,0.88867,0.58929,0.9379,0.0098515,0.0098515,0.0098515
5,5809.36,0.94954,0.64959,0.97669,0.78941,0.65487,0.74184,0.51665,0.87762,0.56682,0.93287,0.009802,0.009802,0.009802
6,6964.71,0.93919,0.6368,0.97242,0.80204,0.6632,0.75379,0.52774,0.864,0.55367,0.92591,0.0097525,0.0097525,0.0097525
7,8116.29,0.92949,0.62459,0.96584,0.8052,0.67422,0.76382,0.53829,0.8529,0.53879,0.91915,0.009703,0.009703,0.009703
8,9269.04,0.92314,0.61694,0.96218,0.81281,0.68331,0.77329,0.54678,0.84322,0.52949,0.91595,0.0096535,0.0096535,0.0096535
9,10421.7,0.91534,0.60879,0.95968,0.81752,0.68834,0.77852,0.55263,0.83536,0.51889,0.91325,0.009604,0.009604,0.009604
10,11576,0.91189,0.60301,0.9574,0.81966,0.69389,0.78362,0.55789,0.83015,0.51191,0.90991,0.0095545,0.0095545,0.0095545
11,12728.5,0.90741,0.5994,0.95571,0.8223,0.69823,0.78801,0.56292,0.82527,0.50729,0.90853,0.009505,0.009505,0.009505
12,13879.7,0.90231,0.59294,0.95372,0.82274,0.70334,0.79229,0.567,0.81914,0.50144,0.90616,0.0094555,0.0094555,0.0094555
13,15030.1,0.90022,0.5898,0.95227,0.82864,0.70614,0.79657,0.57112,0.81533,0.49642,0.9047,0.009406,0.009406,0.009406
14,16180,0.89441,0.58564,0.94935,0.82997,0.70924,0.7995,0.57378,0.81245,0.49349,0.9035,0.0093565,0.0093565,0.0093565
15,17330.4,0.8947,0.58486,0.94869,0.83151,0.71154,0.80133,0.57599,0.80882,0.48967,0.90179,0.009307,0.009307,0.009307
16,18480.9,0.89145,0.58092,0.94709,0.83263,0.71329,0.80323,0.57796,0.80713,0.48737,0.9004,0.0092575,0.0092575,0.0092575
17,19631.9,0.89056,0.57931,0.94652,0.83348,0.71551,0.80505,0.57996,0.8055,0.48545,0.89979,0.009208,0.009208,0.009208
18,20781.9,0.88631,0.57571,0.94503,0.83428,0.71677,0.80621,0.58148,0.80302,0.48367,0.89911,0.0091585,0.0091585,0.0091585
19,21931,0.88734,0.57434,0.94555,0.83601,0.71783,0.80745,0.58292,0.80146,0.48215,0.89861,0.009109,0.009109,0.009109
20,23080.6,0.88346,0.57282,0.94326,0.83428,0.72009,0.80836,0.58403,0.79991,0.48088,0.89801,0.0090595,0.0090595,0.0090595
21,24231.7,0.88385,0.57082,0.94419,0.83655,0.71986,0.8093,0.58496,0.79866,0.47978,0.89771,0.00901,0.00901,0.00901
22,25382.5,0.88063,0.56853,0.94248,0.83802,0.72015,0.80992,0.58578,0.79764,0.47873,0.89733,0.0089605,0.0089605,0.0089605
23,26915.3,0.88051,0.56826,0.94214,0.83832,0.72092,0.81052,0.58635,0.7968,0.47772,0.897,0.008911,0.008911,0.008911
24,28198.8,0.88017,0.56785,0.94225,0.83979,0.7208,0.8112,0.58703,0.79617,0.47686,0.89672,0.0088615,0.0088615,0.0088615
25,29348,0.87809,0.56653,0.94025,0.83815,0.72276,0.81186,0.58778,0.79541,0.47601,0.89629,0.008812,0.008812,0.008812
26,30495.5,0.87634,0.56329,0.93916,0.84007,0.72249,0.81245,0.58843,0.79472,0.47528,0.89591,0.0087625,0.0087625,0.0087625
27,31642,0.87587,0.56317,0.93967,0.84054,0.7231,0.81298,0.58903,0.79407,0.47447,0.89555,0.008713,0.008713,0.008713
