epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1150.87,1.21623,1.2308,1.12195,0.67322,0.62846,0.67649,0.48657,0.90385,inf,0.9417,0.0700288,0.00333013,0.00333013
2,2280.9,0.89183,0.71028,0.95014,0.77426,0.67667,0.7602,0.56424,0.83073,0.62214,0.91308,0.0399628,0.0065975,0.0065975
3,3415.44,0.86661,0.6691,0.93879,0.77385,0.66231,0.74452,0.5439,0.85124,0.68373,0.91971,0.00983085,0.00979886,0.00979886
4,4542.49,0.85207,0.65293,0.93409,0.81031,0.69832,0.78965,0.59242,0.79987,0.58233,0.90303,0.009703,0.009703,0.009703
5,5748.68,0.82565,0.61832,0.92392,0.82537,0.71777,0.81114,0.61281,0.78041,0.54849,0.89375,0.009604,0.009604,0.009604
6,6860.34,0.80986,0.598,0.91701,0.83762,0.73258,0.82649,0.63238,0.75754,0.51781,0.88727,0.009505,0.009505,0.009505
7,7973.78,0.79716,0.58223,0.91201,0.84512,0.7448,0.83706,0.64328,0.74555,0.50524,0.87885,0.009406,0.009406,0.009406
8,9204.39,0.78692,0.5691,0.90777,0.85707,0.75442,0.84831,0.65623,0.73566,0.48574,0.87693,0.009307,0.009307,0.009307
9,10341.6,0.78052,0.56079,0.90497,0.86228,0.76122,0.85557,0.66464,0.72379,0.47153,0.87163,0.009208,0.009208,0.009208
10,11466.9,0.7741,0.55327,0.90244,0.86663,0.76703,0.86096,0.6696,0.72127,0.46617,0.86999,0.009109,0.009109,0.009109
11,12699.5,0.76697,0.54474,0.89978,0.86947,0.7732,0.86575,0.67587,0.71501,0.45729,0.86786,0.00901,0.00901,0.00901
12,13806.2,0.76391,0.53938,0.89856,0.87408,0.77505,0.86896,0.68033,0.70924,0.44979,0.86557,0.008911,0.008911,0.008911
13,14913.2,0.76004,0.5342,0.89613,0.87387,0.77925,0.87196,0.68354,0.70643,0.44626,0.86388,0.008812,0.008812,0.008812
14,17093.4,0.75755,0.53066,0.89546,0.87755,0.78223,0.8749,0.68702,0.70326,0.44107,0.86287,0.008713,0.008713,0.008713
15,18442.3,0.7532,0.5249,0.89328,0.87951,0.78348,0.87655,0.68925,0.70099,0.43791,0.862,0.008614,0.008614,0.008614
16,19948.2,0.75048,0.52151,0.8926,0.88079,0.78515,0.87805,0.69122,0.69964,0.43519,0.86135,0.008515,0.008515,0.008515
17,21844.9,0.74841,0.519,0.8918,0.88048,0.78782,0.87952,0.69277,0.69826,0.43326,0.86081,0.008416,0.008416,0.008416
18,23835.2,0.74503,0.51468,0.89026,0.88105,0.78948,0.88068,0.69403,0.69707,0.43155,0.86027,0.008317,0.008317,0.008317
