epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1169.88,1.02986,0.99895,1.00343,0.75206,0.60765,0.69329,0.46655,0.94955,0.68102,0.94551,0.0033296,0.0033296,0.0033296
2,2310.81,0.99743,0.73144,0.98123,0.72239,0.59545,0.66697,0.44221,0.99069,0.73772,0.96782,0.00662995,0.00662995,0.00662995
3,3454.57,1.03652,0.76646,1.00832,0.67101,0.53921,0.59741,0.38583,1.03403,0.79697,1.01009,0.0098973,0.0098973,0.0098973
4,4591.44,1.01748,0.73872,1.00586,0.74884,0.60886,0.69102,0.46643,0.94398,0.64454,0.95824,0.0098515,0.0098515,0.0098515
5,5727.23,0.97386,0.68027,0.98422,0.77438,0.62938,0.71845,0.49124,0.91571,0.60391,0.94389,0.009802,0.009802,0.009802
6,6862.77,0.9476,0.6476,0.97093,0.79007,0.65166,0.74159,0.51411,0.88395,0.57224,0.93368,0.0097525,0.0097525,0.0097525
7,7994.98,0.9316,0.62684,0.96372,0.80006,0.66973,0.75846,0.53077,0.86474,0.55043,0.92366,0.009703,0.009703,0.009703
8,9127.46,0.91981,0.61258,0.95748,0.80647,0.68436,0.77329,0.54392,0.85351,0.53194,0.91548,0.0096535,0.0096535,0.0096535
9,10269.8,0.91078,0.60008,0.95339,0.82046,0.69024,0.78206,0.55487,0.8395,0.51595,0.91099,0.009604,0.009604,0.009604
10,11502.8,0.90244,0.59059,0.94914,0.82247,0.70393,0.79297,0.56437,0.82837,0.50472,0.90643,0.0095545,0.0095545,0.0095545
11,12874,0.89773,0.58386,0.94641,0.82801,0.70975,0.79983,0.57164,0.81998,0.49546,0.90283,0.009505,0.009505,0.009505
12,14010.3,0.89094,0.57665,0.94345,0.83435,0.7155,0.80573,0.57784,0.81471,0.48721,0.90094,0.0094555,0.0094555,0.0094555
