epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,952.287,0.88228,0.47405,0.92583,0.87489,0.73172,0.82595,0.59836,0.83256,0.455,0.90155,0.00332947,0.00332947,0.00332947
2,1898.03,0.84024,0.45912,0.90057,0.84972,0.71487,0.80603,0.57203,0.86864,0.4978,0.91453,0.00653088,0.00653088,0.00653088
3,2843.17,0.91061,0.53452,0.92905,0.7908,0.64545,0.73047,0.49178,0.96991,0.607,0.96312,0.00960029,0.00960029,0.00960029
4,3789.12,0.97062,0.60139,0.9561,0.8023,0.65399,0.74344,0.50355,0.94946,0.59939,0.95208,0.009406,0.009406,0.009406
5,4734.08,0.95421,0.58663,0.95078,0.80985,0.66819,0.75539,0.51639,0.92554,0.57617,0.94598,0.009208,0.009208,0.009208
6,5758.1,0.94137,0.57442,0.94529,0.82229,0.67851,0.77183,0.53102,0.90878,0.55084,0.93591,0.00901,0.00901,0.00901
7,6704.39,0.93069,0.56351,0.94051,0.8352,0.68463,0.77893,0.54369,0.88977,0.53289,0.92903,0.008812,0.008812,0.008812
8,7650.76,0.92194,0.55421,0.93734,0.84097,0.70172,0.79536,0.55725,0.87015,0.51595,0.9249,0.008614,0.008614,0.008614
9,8596.53,0.91133,0.54486,0.93316,0.84776,0.7145,0.80587,0.56779,0.8584,0.50445,0.91879,0.008416,0.008416,0.008416
10,9543.65,0.90646,0.53863,0.93055,0.85308,0.72204,0.81227,0.57769,0.842,0.49175,0.91225,0.008218,0.008218,0.008218
11,10489.9,0.898,0.53152,0.92632,0.86045,0.72937,0.82102,0.58588,0.83353,0.48093,0.9084,0.00802,0.00802,0.00802
12,11437.6,0.89266,0.52575,0.92489,0.86643,0.73964,0.82822,0.59293,0.82402,0.47022,0.90553,0.007822,0.007822,0.007822
13,12382.6,0.88592,0.51968,0.92275,0.8708,0.7429,0.83349,0.60012,0.81389,0.46238,0.90228,0.007624,0.007624,0.007624
14,13329.2,0.88165,0.51566,0.92059,0.86815,0.75448,0.83919,0.60571,0.80603,0.45643,0.89959,0.007426,0.007426,0.007426
15,14275.2,0.87686,0.51089,0.91807,0.86799,0.76138,0.84292,0.61072,0.79964,0.45047,0.89712,0.007228,0.007228,0.007228
16,15220.8,0.87102,0.50539,0.91633,0.87579,0.76104,0.84635,0.61434,0.79408,0.44529,0.89524,0.00703,0.00703,0.00703
17,16166.7,0.86698,0.50125,0.91482,0.8788,0.76444,0.84965,0.6185,0.7887,0.44064,0.89327,0.006832,0.006832,0.006832
18,17112,0.86155,0.49706,0.91288,0.88095,0.76761,0.8519,0.62183,0.78411,0.4369,0.89165,0.006634,0.006634,0.006634
19,18056.7,0.85746,0.49185,0.9103,0.88199,0.77121,0.85432,0.62391,0.78019,0.43321,0.89032,0.006436,0.006436,0.006436
20,19002.7,0.85215,0.48682,0.90905,0.88403,0.77257,0.85608,0.62631,0.7767,0.43057,0.88925,0.006238,0.006238,0.006238
21,19948.2,0.84956,0.4848,0.90683,0.88429,0.77557,0.85744,0.62849,0.77414,0.42837,0.88828,0.00604,0.00604,0.00604
22,20895,0.84431,0.47969,0.90558,0.88582,0.77682,0.85901,0.63046,0.77185,0.42631,0.88747,0.005842,0.005842,0.005842
23,21841,0.84001,0.47583,0.90407,0.88777,0.7775,0.8601,0.63193,0.76955,0.42414,0.88665,0.005644,0.005644,0.005644
24,22788.3,0.83418,0.47132,0.90165,0.89018,0.7786,0.86161,0.63341,0.76749,0.42258,0.88592,0.005446,0.005446,0.005446
25,23900.2,0.82945,0.46698,0.90075,0.88934,0.78071,0.86289,0.63493,0.76552,0.42083,0.88525,0.005248,0.005248,0.005248
26,25073.7,0.82727,0.46343,0.89943,0.89134,0.7811,0.86403,0.63647,0.76329,0.41912,0.88455,0.00505,0.00505,0.00505
27,26029,0.82384,0.45991,0.89921,0.89202,0.7825,0.86522,0.63794,0.76118,0.41723,0.88391,0.004852,0.004852,0.004852
28,27119.8,0.8179,0.45548,0.89585,0.89176,0.78452,0.86634,0.63939,0.75897,0.41561,0.88317,0.004654,0.004654,0.004654
29,28151.2,0.81298,0.451,0.89447,0.8928,0.78597,0.86742,0.64088,0.75679,0.41383,0.88241,0.004456,0.004456,0.004456
30,29181.6,0.80707,0.44585,0.89243,0.8938,0.78806,0.86837,0.64237,0.75451,0.41216,0.88172,0.004258,0.004258,0.004258
31,30212.9,0.80374,0.44264,0.89042,0.89437,0.78904,0.86949,0.64364,0.75225,0.41024,0.88091,0.00406,0.00406,0.00406
32,31228.8,0.79745,0.43758,0.8875,0.89295,0.7922,0.87082,0.64528,0.74998,0.40837,0.88006,0.003862,0.003862,0.003862
33,32189.4,0.79204,0.4336,0.88628,0.8953,0.79247,0.87216,0.64676,0.74749,0.40631,0.87919,0.003664,0.003664,0.003664
34,33256.4,0.78644,0.42832,0.88426,0.89638,0.79293,0.87329,0.64871,0.74499,0.40429,0.87827,0.003466,0.003466,0.003466
35,34312.5,0.78063,0.42374,0.88286,0.89704,0.79485,0.87461,0.65057,0.74235,0.4023,0.87737,0.003268,0.003268,0.003268
36,35318.9,0.7741,0.41849,0.88081,0.89644,0.79691,0.87564,0.65211,0.73966,0.4003,0.87654,0.00307,0.00307,0.00307
37,36367.8,0.77038,0.41461,0.8787,0.89802,0.79838,0.877,0.65389,0.73706,0.39807,0.87563,0.002872,0.002872,0.002872
38,37341.9,0.7624,0.40888,0.87702,0.89921,0.79938,0.87831,0.65575,0.73442,0.39599,0.87477,0.002674,0.002674,0.002674
39,38318.1,0.75687,0.4041,0.87517,0.90226,0.80004,0.87964,0.65774,0.73139,0.39378,0.87387,0.002476,0.002476,0.002476
40,39361.7,0.74976,0.39853,0.87262,0.90318,0.80173,0.88097,0.65957,0.72846,0.39156,0.8729,0.002278,0.002278,0.002278
41,40317.9,0.73766,0.38815,0.86656,0.90301,0.80423,0.88222,0.66162,0.72541,0.38937,0.87192,0.00208,0.00208,0.00208
42,41407.7,0.73052,0.38283,0.86515,0.90445,0.80602,0.8837,0.66361,0.72226,0.38724,0.8709,0.001882,0.001882,0.001882
43,42576.7,0.72126,0.37613,0.86198,0.90478,0.80821,0.88544,0.66554,0.71905,0.38492,0.86986,0.001684,0.001684,0.001684
44,43612.3,0.71197,0.36955,0.85873,0.90589,0.80943,0.88668,0.66748,0.71569,0.38268,0.86873,0.001486,0.001486,0.001486
45,44681.8,0.70391,0.3637,0.85635,0.90583,0.81235,0.88796,0.66952,0.71239,0.38048,0.86763,0.001288,0.001288,0.001288
46,45663.8,0.69584,0.35829,0.85487,0.90741,0.81353,0.88916,0.67178,0.7091,0.37818,0.86662,0.00109,0.00109,0.00109
47,46744.2,0.68706,0.35236,0.85222,0.90978,0.81431,0.89052,0.67357,0.70569,0.37599,0.86554,0.000892,0.000892,0.000892
48,47759.3,0.67798,0.34646,0.84965,0.90998,0.81695,0.89191,0.67544,0.70219,0.37358,0.86443,0.000694,0.000694,0.000694
