epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,965.783,1.21234,1.1221,1.07278,0.71764,0.51109,0.59197,0.3768,1.13149,0.83737,1.01768,0.00332947,0.00332947,0.00332947
2,1916.71,1.10647,0.77838,1.01117,0.6847,0.52347,0.58506,0.36994,1.14277,0.85335,1.0309,0.00653088,0.00653088,0.00653088
3,2868.02,1.1376,0.81073,1.03386,0.62763,0.47052,0.51521,0.32191,1.16633,1.10655,1.06536,0.00960029,0.00960029,0.00960029
4,3817.51,1.11531,0.78205,1.02888,0.71127,0.53656,0.61133,0.39089,1.08362,0.75544,1.015,0.009406,0.009406,0.009406
5,4764.52,1.06039,0.71841,1.0023,0.73844,0.57579,0.65524,0.43041,1.032,0.70347,0.99038,0.009208,0.009208,0.009208
6,5711.7,1.03167,0.68176,0.988,0.76987,0.59202,0.68062,0.45189,1.01049,0.65058,0.9797,0.00901,0.00901,0.00901
7,6657.96,1.00979,0.65796,0.97825,0.77558,0.61287,0.70013,0.46831,0.97957,0.62633,0.96552,0.008812,0.008812,0.008812
8,7604.74,0.99586,0.64211,0.97093,0.7987,0.62743,0.72085,0.48863,0.9568,0.6,0.9575,0.008614,0.008614,0.008614
9,8551.51,0.98325,0.62746,0.96557,0.80219,0.6422,0.73474,0.50091,0.94163,0.5841,0.95051,0.008416,0.008416,0.008416
10,9499.2,0.9727,0.61651,0.96045,0.81169,0.65189,0.74473,0.51071,0.92965,0.57186,0.94544,0.008218,0.008218,0.008218
11,10447.5,0.96262,0.60581,0.95654,0.81291,0.66245,0.75457,0.51975,0.91835,0.5602,0.94064,0.00802,0.00802,0.00802
12,11394.1,0.95508,0.59702,0.95285,0.81993,0.66939,0.76122,0.52708,0.90788,0.54876,0.93577,0.007822,0.007822,0.007822
