epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1011.72,3.57984,5.83846,4.0046,0.41323,0.08042,0.0788,0.03306,2.38935,2.5199,2.23859,0.00332934,0.00332934,0.00332934
2,1988.07,1.6826,1.62821,1.58878,0.48524,0.36884,0.38104,0.21829,1.36663,1.12448,1.31564,0.00662969,0.00662969,0.00662969
3,2964.09,1.23693,0.98244,1.23012,0.59347,0.43357,0.47451,0.29447,1.15924,1.02206,1.18017,0.00989704,0.00989704,0.00989704
4,3937.02,1.07056,0.79291,1.12416,0.68723,0.55003,0.61367,0.39948,1.00442,0.72195,1.08528,0.0098515,0.0098515,0.0098515
5,4910.42,0.98034,0.69542,1.06936,0.7203,0.56734,0.64168,0.4254,0.97181,0.68233,1.06341,0.009802,0.009802,0.009802
6,5884.42,0.93227,0.64483,1.04116,0.75696,0.61042,0.69047,0.46808,0.91135,0.61533,1.02894,0.0097525,0.0097525,0.0097525
7,6858.14,0.89913,0.61065,1.02171,0.77499,0.62293,0.70618,0.48428,0.88662,0.58653,1.01736,0.009703,0.009703,0.009703
8,7830.7,0.87506,0.58556,1.00783,0.78412,0.6462,0.72855,0.50324,0.86329,0.56048,1.003,0.0096535,0.0096535,0.0096535
9,8805.01,0.85511,0.56507,0.99642,0.78859,0.65679,0.73767,0.51319,0.84932,0.54295,0.99502,0.009604,0.009604,0.009604
10,9780.37,0.83823,0.54888,0.98628,0.80049,0.66398,0.74985,0.52437,0.83555,0.52964,0.98806,0.0095545,0.0095545,0.0095545
11,10755.9,0.82436,0.53492,0.97821,0.79824,0.67325,0.75567,0.5306,0.82765,0.51987,0.98506,0.009505,0.009505,0.009505
12,11731.9,0.81227,0.52242,0.97097,0.8072,0.67832,0.76359,0.53624,0.82156,0.51175,0.98285,0.0094555,0.0094555,0.0094555
13,12710.3,0.80102,0.51206,0.96526,0.81082,0.68472,0.76815,0.54166,0.81532,0.50463,0.97969,0.009406,0.009406,0.009406
14,13688,0.7904,0.50292,0.95918,0.81027,0.69009,0.77097,0.54566,0.81084,0.49917,0.97865,0.0093565,0.0093565,0.0093565
15,14664.2,0.78115,0.49297,0.95349,0.81114,0.69247,0.7738,0.54862,0.80716,0.4945,0.97686,0.009307,0.009307,0.009307
16,15644,0.77249,0.48499,0.94866,0.81085,0.69712,0.77628,0.55044,0.80437,0.49152,0.97623,0.0092575,0.0092575,0.0092575
17,16623.5,0.76407,0.4773,0.94419,0.81701,0.69584,0.77875,0.5521,0.80216,0.48844,0.97529,0.009208,0.009208,0.009208
18,17603.6,0.75586,0.46989,0.93986,0.8162,0.70048,0.78058,0.55416,0.80052,0.48637,0.97495,0.0091585,0.0091585,0.0091585
19,18582.7,0.74967,0.46371,0.93642,0.81292,0.70398,0.78177,0.55548,0.79902,0.48384,0.97469,0.009109,0.009109,0.009109
20,19562.4,0.74212,0.45787,0.93233,0.81502,0.70422,0.78304,0.55671,0.79815,0.48233,0.97447,0.0090595,0.0090595,0.0090595
21,20541.5,0.73602,0.45133,0.92845,0.8143,0.70623,0.7835,0.55754,0.79735,0.48104,0.97437,0.00901,0.00901,0.00901
22,21520.1,0.73035,0.44639,0.92574,0.81497,0.70744,0.78416,0.55812,0.79661,0.47993,0.97429,0.0089605,0.0089605,0.0089605
23,22498.6,0.72502,0.44223,0.92271,0.81381,0.70817,0.78439,0.55864,0.79625,0.47969,0.97423,0.008911,0.008911,0.008911
24,23479.3,0.72199,0.44023,0.92015,0.81532,0.70825,0.78495,0.55922,0.79572,0.47903,0.97405,0.0088615,0.0088615,0.0088615
25,24459.1,0.72063,0.43959,0.91701,0.81535,0.70794,0.78521,0.55963,0.79535,0.47833,0.97406,0.008812,0.008812,0.008812
26,25438.1,0.72131,0.44151,0.91345,0.81598,0.70863,0.78579,0.55997,0.79525,0.47786,0.97419,0.0087625,0.0087625,0.0087625
27,26419.4,0.71878,0.43856,0.90975,0.81597,0.70904,0.78624,0.56051,0.79501,0.47747,0.97421,0.008713,0.008713,0.008713
28,27398.4,0.71468,0.43501,0.90691,0.81802,0.70927,0.78688,0.56093,0.79476,0.47711,0.97425,0.0086635,0.0086635,0.0086635
29,28378.5,0.71121,0.43183,0.9048,0.81982,0.7088,0.78697,0.56137,0.79455,0.47683,0.97422,0.008614,0.008614,0.008614
30,29358.6,0.70698,0.42879,0.90223,0.82019,0.70882,0.7872,0.56176,0.79438,0.47664,0.97428,0.0085645,0.0085645,0.0085645
31,30337.6,0.70293,0.42523,0.90027,0.82183,0.70804,0.78756,0.56215,0.79449,0.47649,0.9744,0.008515,0.008515,0.008515
32,31318.2,0.6994,0.42177,0.89846,0.82324,0.70793,0.78809,0.56241,0.79458,0.47639,0.97441,0.0084655,0.0084655,0.0084655
33,32297.2,0.6951,0.41841,0.89637,0.82134,0.70885,0.7884,0.56267,0.79507,0.47661,0.97471,0.008416,0.008416,0.008416
34,33277,0.69075,0.41481,0.89396,0.82171,0.70932,0.7886,0.56299,0.79542,0.47689,0.97479,0.0083665,0.0083665,0.0083665
35,34255.2,0.68728,0.41181,0.89242,0.82099,0.70984,0.78847,0.56316,0.796,0.47735,0.97496,0.008317,0.008317,0.008317
36,35233.7,0.68349,0.40872,0.89089,0.82003,0.71174,0.78848,0.56332,0.79685,0.47801,0.97516,0.0082675,0.0082675,0.0082675
37,36211.6,0.68015,0.40637,0.8893,0.82124,0.71156,0.78857,0.56351,0.79759,0.47871,0.97529,0.008218,0.008218,0.008218
38,37192.5,0.67632,0.40324,0.8872,0.82215,0.71138,0.78865,0.5638,0.79852,0.4799,0.97534,0.0081685,0.0081685,0.0081685
39,38172.3,0.67341,0.40098,0.88675,0.82187,0.71216,0.78874,0.56406,0.79972,0.4809,0.97552,0.008119,0.008119,0.008119
40,39150.9,0.66935,0.39892,0.88445,0.82173,0.71278,0.78891,0.56421,0.80104,0.48219,0.97566,0.0080695,0.0080695,0.0080695
41,40129.2,0.66718,0.39617,0.88358,0.82117,0.71252,0.78895,0.56443,0.80232,0.48368,0.97583,0.00802,0.00802,0.00802
42,41107.5,0.6636,0.39395,0.88192,0.82189,0.71349,0.78929,0.56477,0.8036,0.48497,0.97587,0.0079705,0.0079705,0.0079705
43,42088.1,0.66003,0.39092,0.88013,0.82239,0.71324,0.78905,0.56483,0.80481,0.48654,0.97588,0.007921,0.007921,0.007921
44,43066.8,0.65652,0.38863,0.87885,0.82242,0.71386,0.7897,0.56511,0.80582,0.48743,0.97585,0.0078715,0.0078715,0.0078715
45,44046.5,0.65326,0.38631,0.87734,0.82312,0.71332,0.78945,0.56507,0.80699,0.48861,0.97599,0.007822,0.007822,0.007822
46,45025.6,0.65111,0.38454,0.87667,0.82332,0.71407,0.78966,0.56527,0.8079,0.48943,0.97609,0.0077725,0.0077725,0.0077725
47,46003.8,0.64786,0.38263,0.87529,0.82242,0.7148,0.78971,0.56546,0.80867,0.49032,0.97625,0.007723,0.007723,0.007723
48,46984.3,0.64576,0.38105,0.87463,0.82361,0.71425,0.7898,0.56544,0.80925,0.49104,0.97637,0.0076735,0.0076735,0.0076735
49,47963.4,0.6432,0.37907,0.87301,0.82425,0.71354,0.78999,0.56539,0.80982,0.49153,0.97647,0.007624,0.007624,0.007624
50,48941.7,0.63927,0.37664,0.87227,0.82289,0.71457,0.79001,0.56551,0.81036,0.4919,0.97667,0.0075745,0.0075745,0.0075745
51,49921.6,0.63627,0.37462,0.87052,0.82327,0.71497,0.78993,0.56554,0.8108,0.49232,0.97676,0.007525,0.007525,0.007525
52,50900.7,0.63354,0.37233,0.86921,0.82655,0.71296,0.78997,0.56553,0.81114,0.49244,0.97688,0.0074755,0.0074755,0.0074755
53,51880.7,0.63084,0.37056,0.86842,0.82586,0.71415,0.78993,0.56551,0.8115,0.4925,0.97693,0.007426,0.007426,0.007426
54,52862.1,0.62784,0.36916,0.86673,0.82404,0.71577,0.78986,0.56553,0.81179,0.49253,0.9771,0.0073765,0.0073765,0.0073765
55,53842.2,0.62537,0.36673,0.86603,0.82542,0.71533,0.78966,0.56557,0.81206,0.49246,0.97706,0.007327,0.007327,0.007327
56,54821.2,0.62249,0.36499,0.86562,0.82291,0.71619,0.78965,0.5655,0.81237,0.49244,0.97729,0.0072775,0.0072775,0.0072775
57,55800.2,0.62078,0.36317,0.86481,0.82293,0.71696,0.78948,0.56569,0.8124,0.49275,0.9775,0.007228,0.007228,0.007228
58,56777.9,0.61717,0.36125,0.86307,0.82147,0.71708,0.78916,0.56561,0.81266,0.49271,0.97773,0.0071785,0.0071785,0.0071785
59,57756.4,0.61452,0.35996,0.86212,0.82362,0.71552,0.78891,0.56561,0.8127,0.49273,0.97792,0.007129,0.007129,0.007129
60,58735.5,0.61187,0.35839,0.86121,0.82256,0.71702,0.78875,0.56565,0.8129,0.49273,0.97809,0.0070795,0.0070795,0.0070795
61,59715.4,0.61003,0.35764,0.86088,0.82392,0.71619,0.78845,0.56542,0.81315,0.49272,0.97846,0.00703,0.00703,0.00703
62,60694.4,0.60737,0.35551,0.85944,0.82145,0.71759,0.78828,0.56537,0.81333,0.49269,0.97876,0.0069805,0.0069805,0.0069805
