epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,911.438,3.59991,6.19219,4.2218,0.26304,0.04502,0.03536,0.01377,2.76064,3.31537,2.59266,0.003329,0.003329,0.003329
2,1867.34,1.76204,1.7562,1.65292,0.4729,0.35487,0.36793,0.20998,1.38452,1.17566,1.33797,0.00662936,0.00662936,0.00662936
3,2783.99,1.24972,0.99557,1.23941,0.64812,0.4158,0.46941,0.28985,1.16342,1.05276,1.18478,0.00989671,0.00989671,0.00989671
4,4788.46,1.08161,0.80119,1.12851,0.67665,0.53511,0.60062,0.38857,1.02846,0.74614,1.09731,0.0098515,0.0098515,0.0098515
5,5750.83,0.98887,0.70391,1.07067,0.72,0.56972,0.64419,0.42914,0.95925,0.6733,1.05567,0.009802,0.009802,0.009802
6,7002.17,0.93981,0.65138,1.04137,0.75088,0.59796,0.67921,0.45886,0.9207,0.63129,1.02891,0.0097525,0.0097525,0.0097525
7,8197.44,0.90644,0.61676,1.02159,0.76926,0.61842,0.70271,0.48134,0.89275,0.59084,1.01521,0.009703,0.009703,0.009703
8,9541.79,0.88129,0.59119,1.007,0.78413,0.63755,0.72037,0.49637,0.87268,0.56913,1.00366,0.0096535,0.0096535,0.0096535
9,10841.2,0.86129,0.57043,0.99524,0.78311,0.64955,0.73157,0.50783,0.8557,0.55142,0.99564,0.009604,0.009604,0.009604
10,11998.3,0.84523,0.5545,0.98649,0.78846,0.66189,0.7435,0.51916,0.84357,0.53501,0.98901,0.0095545,0.0095545,0.0095545
11,13159.6,0.83024,0.53896,0.97786,0.79919,0.66469,0.75023,0.52539,0.83517,0.52391,0.98546,0.009505,0.009505,0.009505
12,14279.8,0.81754,0.52718,0.9705,0.80627,0.67343,0.75804,0.53249,0.82625,0.51505,0.98108,0.0094555,0.0094555,0.0094555
13,15516.6,0.80575,0.51578,0.96363,0.80862,0.6791,0.76298,0.53752,0.82017,0.50688,0.97812,0.009406,0.009406,0.009406
