epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,989.097,0.93993,0.92051,0.97479,0.78227,0.66575,0.75571,0.5329,0.87241,0.62893,0.9423,0.00333013,0.00333013,0.00333013
2,1977.01,0.89124,0.64683,0.94896,0.78213,0.65784,0.74405,0.52189,0.89992,0.647,0.95382,0.00663048,0.00663048,0.00663048
3,2965.19,0.92717,0.67862,0.97045,0.71996,0.6097,0.67821,0.4609,0.95363,0.75749,0.99262,0.00989783,0.00989783,0.00989783
4,3950.81,0.91954,0.66116,0.97027,0.7895,0.68547,0.76684,0.54424,0.86574,0.61166,0.94511,0.0098515,0.0098515,0.0098515
5,4933.71,0.87519,0.60458,0.94953,0.82665,0.72765,0.81092,0.59038,0.81599,0.54478,0.92231,0.009802,0.009802,0.009802
6,5915.28,0.84686,0.57101,0.93679,0.84926,0.7534,0.83824,0.61937,inf,0.50591,0.91209,0.0097525,0.0097525,0.0097525
7,6897.49,0.82542,0.54752,0.92663,0.85975,0.7776,0.85765,0.6401,0.76102,0.48039,0.9017,0.009703,0.009703,0.009703
8,7878.82,0.80898,0.52913,0.91948,0.87285,0.79252,0.87197,0.65919,0.7393,0.45514,0.89268,0.0096535,0.0096535,0.0096535
9,8859.88,0.79499,0.51411,0.91358,0.88174,0.80731,0.88387,0.67483,0.7206,0.4384,0.8857,0.009604,0.009604,0.009604
10,9841.18,0.783,0.50165,0.90811,0.8898,0.82019,0.89395,0.68823,0.70457,0.42148,0.87999,0.0095545,0.0095545,0.0095545
11,10820.6,0.77176,0.49076,0.90373,0.89815,0.8282,0.90087,0.69897,0.68995,0.40917,0.87509,0.009505,0.009505,0.009505
12,11799.7,0.76199,0.48123,0.8996,0.90101,0.83909,0.90736,0.70783,0.6783,0.39863,0.87111,0.0094555,0.0094555,0.0094555
13,12780,0.75352,0.47257,0.896,0.90618,0.84544,0.91241,0.71558,0.66796,0.38984,0.86765,0.009406,0.009406,0.009406
14,13759.3,inf,0.46521,0.89257,0.90969,0.85051,0.91601,0.72139,0.65951,0.38315,0.86475,0.0093565,0.0093565,0.0093565
15,14738.1,0.73774,0.45785,0.88933,0.91285,0.8545,0.91903,0.72623,0.65237,0.37726,0.86227,0.009307,0.009307,0.009307
16,15718.8,0.73105,0.45196,0.88697,0.91497,0.85828,0.92157,0.73024,inf,0.37268,0.86035,0.0092575,0.0092575,0.0092575
17,16704.4,0.72528,0.44589,0.88449,0.91637,0.86099,0.92368,0.73353,inf,0.36903,0.8588,0.009208,0.009208,0.009208
18,17690.2,0.71891,0.44113,0.882,0.91843,0.86263,0.92519,0.73634,0.63792,0.36581,0.85746,0.0091585,0.0091585,0.0091585
19,18681.2,0.71339,0.4362,0.88,0.91957,0.86481,0.92675,0.73879,0.63445,0.36304,0.85628,0.009109,0.009109,0.009109
20,19667.2,0.7085,0.43153,0.87829,0.92095,0.86673,0.92809,0.74088,0.63122,0.3605,0.85525,0.0090595,0.0090595,0.0090595
21,20685.8,0.70268,0.42662,0.87595,0.92181,0.8688,0.92931,0.74321,0.62807,0.35817,0.85419,0.00901,0.00901,0.00901
22,21689.3,0.69874,0.42289,0.87437,0.92265,0.87087,0.93057,0.74517,0.625,0.35584,0.85319,0.0089605,0.0089605,0.0089605
23,22680.3,0.69421,0.41929,0.87287,0.92277,0.87308,0.9317,0.74728,0.62192,0.35345,0.85222,0.008911,0.008911,0.008911
